DOI,Relation,GeoNamesID
10.2307/41488394,content,5128581
10.2307/41488394,author,4914512
10.2307/41488394,content,4560349
10.2307/41488394,author,4914512
10.2307/41488394,content,4887398
10.2307/41488394,author,4914512
10.2307/41488425,content,2186224
10.2307/41488425,author,2654710
10.2307/41488425,content,6269131
10.2307/41488425,author,2654710
10.2307/4330841,content,6269131
10.2307/4330841,author,4930956
10.2307/4330842,content,2782113
10.2307/4330845,content,6251999
10.2307/4330845,author,5725846
10.2307/4330844,content,3017382
10.2307/41488458,content,6252001
10.2307/41488459,content,2017370
10.2307/41488452,content,4140963
10.2307/41488452,author,4140963
10.2307/41488453,content,2921044
10.2307/41488453,author,4887398
10.2307/41488451,content,6269131
10.2307/41488457,content,6252001
10.2307/41488454,content,3367577
10.2307/41488454,author,2855745
10.2307/41488455,content,390903
10.2307/41488455,author,281184
10.2307/4331610,content,6269131
10.2307/4331610,author,4254679
10.2307/4331223,content,6252001
10.2307/4331223,author,5113752
10.2307/4331220,content,6252001
10.2307/4331220,author,4140963
10.2307/4331227,content,6269131
10.2307/4331227,author,4931972
10.2307/4331229,content,2017370
10.2307/4331317,content,6252001
10.2307/4331317,author,4460162
10.2307/4331314,content,6252001
10.2307/4331312,content,2921044
10.2307/4331312,author,4843786
10.2307/4331310,content,6269131
10.2307/4331310,author,4931972
10.2307/4331311,author,4156404
10.2307/4331486,author,5113752
10.2307/4331487,content,6252001
10.2307/4331487,content,6251999
10.2307/4331956,content,6252001
10.2307/4331956,author,4984247
10.2307/4331485,content,2921044
10.2307/4331482,content,6252001
10.2307/4331483,content,6252001
10.2307/4331480,content,6252001
10.2307/4331481,content,6252001
10.2307/4331481,author,2988507
10.2307/40271565,content,6269131
10.2307/40271564,content,5113223
10.2307/40271564,content,6252001
10.2307/40271567,content,6252001
10.2307/40271567,author,4347778
10.2307/40271561,content,5128581
10.2307/40271561,author,5102922
10.2307/40271561,content,6269131
10.2307/40271561,author,5102922
10.2307/40271560,content,2623032
10.2307/40271560,author,3143244
10.2307/40271560,content,2618425
10.2307/40271560,author,3143244
10.2307/40271563,content,4929024
10.2307/40271563,author,5391811
10.2307/40271562,content,6252001
10.2307/40271562,author,5351247
10.2307/4330570,content,2618425
10.2307/4330570,author,5969423
10.2307/4330570,content,2921044
10.2307/4330570,author,5969423
10.2307/4330573,author,4956184
10.2307/4330572,content,1275004
10.2307/4330572,author,4834157
10.2307/4330572,content,6269131
10.2307/4330572,author,4834157
10.2307/4330574,content,3171728
10.2307/4330574,author,4929022
10.2307/4330574,content,7288046
10.2307/4330574,author,4929022
10.2307/4330577,content,3017382
10.2307/4330577,author,5720727
10.2307/4330576,content,7288046
10.2307/4330576,author,4931972
10.2307/4330576,content,2666199
10.2307/4330576,author,4931972
10.2307/4330576,content,2946447
10.2307/4330576,author,4931972
10.2307/4330579,content,2921044
10.2307/4330579,author,4509177
10.2307/4330578,content,2921044
10.2307/4330578,author,5969423
10.2307/4330578,content,6269131
10.2307/4330578,author,5969423
10.2307/4331000,content,6252001
10.2307/4331000,content,6269131
10.2307/4331001,content,6252001
10.2307/4331556,content,4099753
10.2307/4331557,content,6269131
10.2307/4331557,author,4887398
10.2307/4331828,content,4846179
10.2307/4331828,author,5141502
10.2307/4331829,content,6262131
10.2307/4331829,author,4991640
10.2307/4331798,content,390903
10.2307/4331820,content,6269131
10.2307/4331821,content,2078025
10.2307/4331821,content,2077456
10.2307/4331790,content,4197000
10.2307/4331791,content,5332921
10.2307/4331796,content,6252001
10.2307/4331797,content,2077456
10.2307/4331797,content,6251999
10.2307/4331794,content,554234
10.2307/4331794,content,1797929
10.2307/4331827,content,5363943
10.2307/4331827,author,5525577
10.2307/4331526,content,6252001
10.2307/4331526,content,6269131
10.2307/4330688,content,3182230
10.2307/4330685,content,6252001
10.2307/4331176,content,3017382
10.2307/4331177,content,6252001
10.2307/4331174,content,2921044
10.2307/4331174,author,5261457
10.2307/4331175,content,390903
10.2307/4331175,author,4887398
10.2307/4331172,content,6252001
10.2307/4331172,author,2643123
10.2307/4331173,author,2643123
10.2307/4331170,content,6252001
10.2307/4331170,author,2988507
10.2307/4331171,content,6252001
10.2307/4331171,author,5856195
10.2307/4331179,content,2988507
10.2307/4331179,author,4929022
10.2307/4330759,content,390903
10.2307/4330758,content,2510769
10.2307/4330977,author,5318313
10.2307/4330976,content,5113223
10.2307/4330976,author,5317058
10.2307/4330971,content,6252001
10.2307/4330971,author,5317058
10.2307/4330971,content,6252001
10.2307/4330971,author,5037649
10.2307/4330973,content,6252001
10.2307/4330973,author,4351977
10.2307/4330973,content,6269131
10.2307/4330973,author,4351977
10.2307/4330972,author,5261457
10.2307/4330751,content,6269131
10.2307/4330751,author,5720727
10.2307/4330750,content,6269131
10.2307/4330750,author,2643743
10.2307/4330753,content,6252001
10.2307/4330753,author,4931972
10.2307/4330752,content,6269131
10.2307/4330752,author,4954380
10.2307/4330757,content,2017370
10.2307/4330756,content,1269750
