Title,Date,Volume,Issue,StartPage,EndPage,DOI
Field Studies in Absentia: Counting and Monitoring from a Distance as Technologies of Government in Norwegian Wolf Management (1960s–2010s),2014,48,,1,36,10.1007/s10739-014-9393-0
A Global History of Australian Trees,2011,44,1,125,145,10.2307/41488391
Review: The Organization Man and the Archive: A Look at the Bentley Glass Papers,2011,44,1,147,151,10.2307/41488392
Review: The Nazi Symbiosis: Human Genetics and Politics in the Third Reich|Sheila Faith Weiss,2011,44,1,159,161,10.2307/41488395
"The Seven Sisters: Subgenres of ""Bioi"" of Contemporary Life Scientists",2011,44,4,633,650,10.2307/41488426
Review: Toxic Bodies: Hormone Disruptors and the Legacy of DES|Nancy Langsten,2011,44,1,167,169,10.2307/41488397
Review: Brain Storm: The Flaws in the Science of Sex Differences|Rebecca M. Jordan-Young,2011,44,1,163,165,10.2307/41488396
Evolution on One Foot,2015,48,,337,351,10.1007/s10739-015-9406-7
On the Genesis of the Idiotypic Network Theory,2012,46,,125,158,10.1007/s10739-012-9346-4
A War on Two Fronts: J. B. S. Haldane and the Response to Lysenkoism in Britain,1983,16,1,1,37,10.2307/4330841
"Mutant Bacteriophages, Frank Macfarlane Burnet, and the Changing Nature of ""Genespeak"" in the 1930s",2010,43,3,571,599,10.2307/40801950
John Goodsir and the Making of Cellular Reality,1983,16,1,75,99,10.2307/4330843
"Konrad Lorenz's Ethological Theory: Explanation and Ideology, 1938-1943",1983,16,1,39,73,10.2307/4330842
Review: Francis Crick: Hunter of Life's Secrets|Robert Olby,2010,43,3,617,619,10.2307/40801955
Pierre Louis Moreau De Maupertuis: A Precursor of Mendel?,1983,16,1,102,136,10.2307/4330844
Review: From Natural History to the History of Nature: Readings from Buffon and His Critics|John Lyon;Phillip R. Sloan,1983,16,1,177,178,10.2307/4330847
Understanding Societies from Inside the Organisms. Leo Pardi’s Work on Social Dominance in Polistes Wasps (1937–1952),2015,48,,455,486,10.1007/s10739-015-9401-z
"Review: Disseminating Darwinism: The Role of Place, Race, Religion, and Gender|Ronald L. Numbers;John Stenhouse",2000,33,3,592,594,10.2307/4331619
Review: Ahead of the Curve: David Baltimore's Life in Science|Shane Crotty,2001,34,3,615,616,10.2307/4331701
"Review: The Nesting Season: Cuckoos, Cuckolds, and the Invention of Monogamy|Bernd Heinrich",2012,45,2,361,363,10.2307/41488458
"Review: The Prince of Evolution. Peter Kropotkin's Adventures in Science and Politics, CreateSpace and Amazon|Lee Alan Dugatkin",2012,45,2,365,366,10.2307/41488459
"Modeling Man: The Monkey Colony at the Carnegie Institution of Washington's Department of Embryology, 1925-1971",2012,45,2,213,251,10.2307/41488452
"Karl Beurlen (1901-1985), Nature Mysticism, and Aryan Paleontology",2012,45,2,253,299,10.2307/41488453
Darwin and His Pigeons. The Analogy Between Artificial and Natural Selection Revisited,2012,45,2,179,212,10.2307/41488451
Review: Mutation: The History of an Idea from Darwin to Genomics|Elof Axel Carlson,2012,45,2,353,356,10.2307/41488456
Review: Breaking Through the Spiral Ceiling: An American Woman Becomes a DNA Scientist|Laura L. Mays Hoopes,2012,45,2,357,360,10.2307/41488457
R. J. Gordon's Discovery of the Spotted Hyena's Extraordinary Genitalia in 1777,2012,45,2,301,328,10.2307/41488454
Questions of Methodology in Aristotle's Zoology: A Medieval Perspective,2012,45,2,329,352,10.2307/41488455
Paleontology and Darwin’s Theory of Evolution: The Subversive Role of Statistics at the End of the 19th Century,2015,48,,575,612,10.1007/s10739-015-9402-y
"Review: Possessing Nature: Museums, Collecting, and Scientific Culture in Early Modern Italy|Paula Findlen",1997,30,1,135,136,10.2307/4331423
Review: Science as Social Knowledge: Values and Objectivity in Scientific Inquiry|Helen E. Longino,1992,25,2,340,341,10.2307/4331222
Review: Fifty Years of Genetic Load: An Odyssey|Bruce Wallace,1992,25,2,341,342,10.2307/4331223
"Review: Pioneer Ecologist: The Life and Work of Victor Ernest Shelford, 1877-1968|Robert A. Croker",1992,25,2,337,338,10.2307/4331220
Review: The Origins of Natural Science in America: The Essays of George Brown Goode|Sally Gregory Kohlstedt;George Brown Goode,1992,25,2,339,340,10.2307/4331221
Darwin's Principle of Divergence,1992,25,3,343,359,10.2307/4331227
Introduction,1992,25,3,363,368,10.2307/4331228
Nature Protection and Government in the USSR,1992,25,3,369,383,10.2307/4331229
"Review: The Politics of Heredity: Essays on Eugenics, Biomedicine, and the Nature-Nurture Debate|Diane B. Paul",1999,32,2,395,397,10.2307/4331530
"Review: A Conceptual History of Modern Embryology, Vol. VII|Scott F. Gilbert",1994,27,2,368,370,10.2307/4331318
"Review: Hans Krebs, Vol. II, Architect of Intermediary Metabolism, 1933-1937|Frederic L. Holmes",1994,27,2,370,372,10.2307/4331319
Review: Julian Huxley: Biologist and Statesman of Science|C. Kenneth Waters;Albert Van Helden;Julian Huxley,1994,27,2,363,366,10.2307/4331316
Review: The Botanizers: Amateur Scientists in Nineteenth-Century America|Elizabeth B. Keeney,1994,27,2,366,368,10.2307/4331317
"Review: American Socialists and Evolutionary Thought, 1870-1920|Mark Pittenger",1994,27,2,359,361,10.2307/4331314
Review: Anti-Evolution: A Reader's Guide to Writings before and after Darwin|Tom McIver,1994,27,2,361,363,10.2307/4331315
"Science, Philosophy, and Metaphor in Ernst Mayr's Writings",1994,27,2,311,347,10.2307/4331312
The History of Ecology,1994,27,2,349,357,10.2307/4331313
"The Reception of Francis Galton's ""Hereditary Genius"" in the Victorian Periodical Press",1994,27,2,215,240,10.2307/4331310
Organizing Evolution: Founding the Society for the Study of Evolution (1939-1950),1994,27,2,241,309,10.2307/4331311
"Review: From Darwin to Hitler: Evolutionary Ethics, Eugenics, and Racism in Germany|Richard Weikart",2005,38,2,390,391,10.2307/4331954
Review: A Bird in the Bush: A Social History of Birdwatching|Stephen Moss,2005,38,2,391,392,10.2307/4331955
Review: The Cells of the Body: A History of Somatic Cell Genetics|Henry Harris,1998,31,2,295,296,10.2307/4331484
Review: Reenchanted Science: Holism in German Culture from Wilhelm II to Hitler|Anne Harrington,1998,31,2,296,298,10.2307/4331485
Review: 99% Ape: How Evolution Adds Up|Jonathan Silverton,2009,42,3,617,619,10.2307/40271569
"Review: Controlling Human Heredity: 1865 to the Present|Diane B. Paul The Rhetoric of Eugenics in Anglo-American Thought|Marouf A. Hasian, Jr.",1998,31,2,292,295,10.2307/4331483
Review: The Living Universe: Nasa and the Development of Astrobiology|Steven J. Dick;James E. Strick,2005,38,2,386,387,10.2307/4331952
Review: Putting Science in Its Place: Geographies of Scientific Knowledge|David N. Livingstone,2005,38,2,388,389,10.2307/4331953
Review: Herbert Spencer and the Invention of Modern Life|Mark Francis,2009,42,3,599,604,10.2307/40271565
Review: Davenport's Dream. 21st Century Reflections on Heredity and Eugenics|Jan A. Witkowski;John R. Inglis,2009,42,3,593,598,10.2307/40271564
Review: Deliver Me from Pain: Anesthesia and Birth in America|Jacqueline H. Wolf,2009,42,3,609,611,10.2307/40271567
Review: An Orchard Invisible: A Natural History of Seeds|Jonathan Silvertown,2009,42,3,605,607,10.2307/40271566
"Review: Creationism and Scriptural Geology, 1817-1857|John M. Lynch",2005,38,2,397,400,10.2307/4331958
Sources of Wilhelm Johannsen's Genotype Theory,2009,42,3,457,493,10.2307/40271560
Germs and Jim Crow: The Impact of Microbiology on Public Health Policies in Progressive Era American South,2009,42,3,529,559,10.2307/40271562
Review: The Dawn of Conservation Diplomacy: U.S.-Canadian Wildlife Protection Treaties in the Progressive Era|Kurkpatrick Dorsey,1999,32,3,577,579,10.2307/4331558
Review: Nature: Western Attitudes since Ancient Times|Peter Coates,1999,32,3,579,581,10.2307/4331559
The Endurance of the Mechanism: Vitalism Controversy,1972,5,1,159,188,10.2307/4330573
"Wallace, Darwin, and Edward Blyth: Further Notes on the Development of Evolution Theory",1972,5,1,153,158,10.2307/4330572
Harvey Redux,1972,5,1,189,204,10.2307/4330574
Buffon and the Concept of Species,1972,5,2,259,284,10.2307/4330577
Blood and Hemoglobin: The Evolution of Knowledge of Functional Adaptation in a Biochemical System. Part I: The Adaptation of Chemical Structure to Function in Hemoglobin,1972,5,2,205,257,10.2307/4330576
Instinct Theory and the German Reaction to Weismannism,1972,5,2,321,326,10.2307/4330579
The Spontaneous Generation Controversy (1859-1880): British and German Reactions to the Problem of Abiogenesis,1972,5,2,285,319,10.2307/4330578
"Biologists and the Promotion of Birth Control Research, 1918-1938",1987,20,1,51,87,10.2307/4331000
Before the Crusade: Evolution in American Secondary Education before 1920,1987,20,1,89,114,10.2307/4331001
Review: A History of Molecular Biology|Michel Morange;Matthew Cobb,1999,32,3,568,570,10.2307/4331554
Review: Origins of Mendelism|Robert Olby,1987,20,1,132,133,10.2307/4331004
Review: Victorian Science in Context|Bernard Lightman,1999,32,3,575,577,10.2307/4331557
"Are Research Schools Necessary? Contrasting Models of 20th Century Research at Yale Led by Ross Granville Harrison, Grace E. Pickford and G. Evelyn Hutchinson",2003,36,3,501,529,10.2307/4331828
Synthesis and Selection: Wynne-Edwards' Challenge to David Lack,2003,36,3,531,566,10.2307/4331829
Review: Aristotle's Philosophy of Biology: Studies in the Origins of Life Science|James G. Lennox,2003,36,1,223,224,10.2307/4331798
Review: Henry Shaw: His Life and Legacies|William Barnaby Faherty,2003,36,1,213,214,10.2307/4331792
Review: Regardfully Yours: Selected Correspondence of Ferdinand von Mueller|R. W. Home;A. M. Lucas;Ferdinand von Mueller;Sara Maroske;D. M. Sinkora;J. H. Voigt,2003,36,2,430,432,10.2307/4331821
Review: Holistic Science: The Evolution of the Georgia Institute of Ecology (1940-2000)|Gary W. Barrett;Terry L. Barrett,2003,36,1,209,210,10.2307/4331790
'What Holds the Earth Together': Agnes Chase and American Agrostology,2003,36,3,437,460,10.2307/4331826
"Review: Science, Race, and Religion in the American South: John Bachman and the Charleston Circle of Naturalists, 1815-1895|Lester D. Stephens",2003,36,1,217,218,10.2307/4331795
"Naturalists, Molecular Biologists, and the Challenges of Molecular Evolution",1999,32,2,321,341,10.2307/4331527
"His Own Synthesis: Corn, Edgar Anderson, and Evolutionary Theory in the 1940s",1999,32,2,293,320,10.2307/4331526
Review: Studies in the Philosophy of Biology: Reduction and Related Problems|Francisco Jose Ayala;Theodosius Dobzhansky,1977,10,2,370,371,10.2307/4330688
Review: Advances in American Medicine: Essays at the Bicentennial|John Z. Bowers;Elizabeth F. Purcell,1977,10,2,,,10.2307/4330683
Review: Great Scientists Speak Again|Richard M. Eakin,1977,10,2,366,367,10.2307/4330682
Review: Aristotle's De Partibus Animalium I and De Generatione Animalium I|D. M. Balme;Aristotle,1977,10,2,,,10.2307/4330681
"Review: Walter and Eliza Hall Institute, 1915-1965|Macfarlane Burnet",1977,10,2,365,366,10.2307/4330680
Review: The Evolution of an Evolutionist|C. H. Waddington,1977,10,2,369,370,10.2307/4330687
Review: New Light on William Harvey|Walter Pagel,1977,10,2,,,10.2307/4330686
Review: No Other Gods: On Science and American Social Thought|Charles E. Rosenberg,1977,10,2,368,369,10.2307/4330685
Review: William Harvey and the Circulation of the Blood|Eric Neil,1977,10,2,367,368,10.2307/4330684
"Gender and the Scientific ""Civilizing Process""",1991,24,2,331,338,10.2307/4331176
"Review: Curators and Culture: The Museum Movement in America, 1740-1870|Joel J. Orosz Cathedrals of Science: The Development of Colonial Natural History Museums during the Late Nineteenth Century|Susan Sheets-Pyenson",1991,24,2,339,341,10.2307/4331177
"Black Death and the Silver Lining: Meaning, Continuity, and Revolutionary Change in Histories of Medieval Plague",1991,24,2,265,289,10.2307/4331174
Aristotle's Cardiocentric Model of Animal Locomotion,1991,24,2,291,330,10.2307/4331175
"Defining Ecology: Ecological Theories, Mathematical Models, and Applied Biology in the 1960s and 1970s",1991,24,2,223,243,10.2307/4331172
"The Problem of Natural Antibodies, 1894-1905",1991,24,2,245,263,10.2307/4331173
From Culture as Organism to Organism as Cell: Historical Origins of Bacterial Genetics,1991,24,2,171,190,10.2307/4331170
Stabilizing Instability: The Controversy over Cyclogenic Theories of Bacterial Variation during the Interwar Period,1991,24,2,191,222,10.2307/4331171
Review: Philosophy of Biology Today|Michael Ruse,1991,24,2,341,342,10.2307/4331178
"Review: A Company of Scientists: Botany, Patronage, and Community at the Seventeenth-Century Parisian Royal Academy of Sciences|Alice Stroup",1991,24,2,342,343,10.2307/4331179
Review: Galen on the Affected Parts|Rudolph E. Siegel,1980,13,1,165,166,10.2307/4330759
"Advantage, Adaptiveness, and Evolutionary Ecology",1986,19,2,215,233,10.2307/4330974
On Fitness and Adaptedness and Their Role in Evolutionary Explanation,1986,19,2,289,302,10.2307/4330977
"""Evolutionary Ecology"" and the Use of Natural Selection in Ecological Theory",1986,19,2,257,288,10.2307/4330976
Introduction: Between Ecology and Evolutionary Biology,1986,19,2,169,180,10.2307/4330971
Preface,1986,19,2,167,168,10.2307/4330970
Ecologists and Taxonomists: Divergent Traditions in Twentieth-Century Plant Geography,1986,19,2,197,214,10.2307/4330973
Evolution into Ecology? The Strategy of Warming's Ecological Plant Geography,1986,19,2,181,196,10.2307/4330972
Geographical Distribution and the Origin of Life: The Development of Early Nineteenth-Century British Explanations,1980,13,1,91,119,10.2307/4330751
"Darwin's Botanical Arithmetic and the ""Principle of Divergence,"" 1854-1858",1980,13,1,53,89,10.2307/4330750
Horace Judson and the Molecular Biologists,1980,13,1,141,158,10.2307/4330753
"Early Victorian Science: ""Science in Culture""",1980,13,1,121,140,10.2307/4330752
Review: Medicine and the Reign of Technology|Stanley Joel Reiser,1980,13,1,160,161,10.2307/4330755
Review: An Introduction to the History of Virology|A. P. Waterson;Lise Wilkinson,1980,13,1,159,160,10.2307/4330754
"Review: The Dream of Lhasa: The Life of Nikolay Przhevalsky, Explorer of Central Asia|Donald Rayfield",1980,13,1,163,164,10.2307/4330757
"Review: Mosquitoes, Malaria, and Man: A History of the Hostilities since 1880|Gordon Harrison Tropical Medicine and Parasitology: Classic Investigations|B. H. Kean;Kenneth E. Mott;Adair J. Russell",1980,13,1,161,163,10.2307/4330756
The Long and Winding Road of Molecular Data in Phylogenetic Analysis,2013,47,,443,478,10.1007/s10739-013-9373-9
"“A Cold Spring Harbor in Europe.” EURATOM, UNESCO and the Foundation of EMBO",2015,48,,539,573,10.1007/s10739-015-9408-5
"Natural History, Natural Theology, and Social Order: John Ray and the ""Newtonian Ideology""",1987,20,1,1,49,10.2307/4330999
Review: Larval Forms and Other Zoological Verses|Walter Garstang,1986,19,3,493,494,10.2307/4330996
Review: The Social Meaning of Modern Biology: From Social Darwinism to Sociobiology|Howard L. Kaye,1986,19,3,492,493,10.2307/4330995
Review: From Darwin to Behaviourism: Psychology and the Minds of Animals|Robert Bokes,1986,19,3,491,492,10.2307/4330994
"Review: Magnificent Voyagers: The U.S. Exploring Expedition, 1838-1842|Herman J. Viola;Carolyn J. Margolis",1986,19,3,490,491,10.2307/4330993
"Review: Geschichte der Biologie: Theorien, Methoden, Institutionen, Kurzbiographien|Ilse Jahn;Rolf Löther;Konrad Senglaub",1986,19,3,,,10.2307/4330992
Not without a Plan: Geography and Natural History in the Late Eighteenth Century,1986,19,3,447,488,10.2307/4330991
"Darwin, Vital Matter, and the Transformism of Species",1986,19,3,369,445,10.2307/4330990
"Book Review: Aaron Panofsky, Misbehaving Science: Controversy and the Development of Behavior Genetics",2015,48,,353,355,10.1007/s10739-015-9404-9
"Review: The Fruit, the Tree, and the Serpent: Why We See So Well|Lynne A. Isbell",2012,45,1,175,177,10.2307/41488448
Review: Morbid Curiosities: Medical Museums in Nineteenth Century Britain|Samuel J.M.M. Alberti,2012,45,1,163,165,10.2307/41488445
"Immunology (1955-1975): The Natural Selection Theory, the Two Signal Hypothesis and Positive Repertoire Selection",2012,45,1,139,161,10.2307/41488444
"Review: The Neighborhood Project. Using Evolution to Improve My City, One Block at a Time|D.S. Wilson",2012,45,1,171,173,10.2307/41488447
Review: Brainstorm: The Flaws in the Science of Sex Differences|Rebecca M. Jordan-Young,2012,45,1,167,169,10.2307/41488446
Watching the 'Eugenic Experiment' Unfold: The Mixed Views of British Eugenicists Toward Nazi Germany in the Early 1930s,2012,45,1,33,63,10.2307/41488441
"The 'Division of Physiological Labour': The Birth, Life and Death of a Concept",2012,45,1,3,31,10.2307/41488440
"An RNA Phage Lab: MS2 in Walter Fiers' Laboratory of Molecular Biology in Ghent, from Genetic Code to Gene and Genome, 1963-1976",2012,45,1,109,138,10.2307/41488443
Between Biochemists and Embryologists - The Biochemical Study of Embryonic Induction in the 1930s,2012,45,1,65,108,10.2307/41488442
The History and Reception of Charles Darwin’s Hypothesis of Pangenesis,2014,47,,661,695,10.1007/s10739-014-9377-0
Review: The Non-Darwinian Revolution: Reinterpreting a Historical Myth|Peter J. Bowler,1990,23,3,529,531,10.2307/4331149
Russian Darwinism,1990,23,3,523,527,10.2307/4331148
"Wallace, Darwin, and the Theory of Natural Selection: A Study in the Development of Ideas and Attitudes",1968,1,2,261,323,10.2307/4330498
Review: Law in the Laboratory: A Guide to the Ethics of Federally Funded Science Research|Robert P. Charrow,2010,43,4,817,819,10.2307/40984889
"Review: A Vast Machine: Computer Models, Climate Data, and the Politics of Global Warming|Paul N. Edwards",2010,43,4,813,815,10.2307/40984888
Review: The Mirage of a Space Between Nature and Nurture|Evelyn Fox Keller,2010,43,4,809,811,10.2307/40984887
Review: Leopold's Shack and Ricketts's Lab: The Emergence of Environmentalism|Michael J. Lannoo,2010,43,4,805,807,10.2307/40984886
Review: In Pursuit of the Gene: From Darwin to DNA|James Schwartz,2010,43,4,801,803,10.2307/40984885
August Weismann Embraces the Protozoa,2010,43,4,767,800,10.2307/40984884
The Origins of Species: The Debate between August Weismann and Moritz Wagner,2010,43,4,727,766,10.2307/40984883
"Waiting for Sequences: Morris Goodman, Immunodiffusion Experiments, and the Origins of Molecular Anthropology",2010,43,4,697,725,10.2307/40984882
Not Beyond Reasonable Doubt: Howard Temin's Provirus Hypothesis Revisited,2010,43,4,661,696,10.2307/40984881
"Collecting, Comparing, and Computing Sequences: The Making of Margaret O. Dayhoff's ""Atlas of Protein Sequence and Structure"", 1954–1965",2010,43,4,623,660,10.2307/40984880
Review: Made from This Earth: American Women and Nature|Vera Norwood,1995,28,3,554,555,10.2307/4331369
"Review: The Meanings of Sex Difference in the Middle Ages: Medicine, Science, and Culture|Joan Cadden",1995,28,3,551,553,10.2307/4331368
