Author,Name
0,Shang-Jen Li
1,AbdelkéRim Ousman
2,R C Lewontin
3,Nancy G Slack
4,Ana SimõEs
5,Kaori Iida
6,Charissa S Varma
7,Mott T Greene
8,Thomas J Doyle
9,Paula Findlen
10,Geert Vanpaemel
11,Frederick B Churchill
12,Frank H T Rhodes
13,Paul S Agutter
14,Michael Gross
15,Edward Blyth
16,Gary Kroll
17,Karen Rader
18,Karen Brown
19,Susana Pinar
20,Roy Porter
21,Angela Creager
22,Andy Hammond
23,Karin Matchett
24,A G Cock
25,Craig Stillwell
26,Marianne Van Den Wijngaard
27,Pierre-Olivier Méthot
28,Fa-Ti Fan
30,Richard England
31,Denis Thieffry
548,Andi Johnson
33,Edward G Ruestow
34,Michael Scriven
35,Peter G Sobol
36,Georges Louis Leclerq
37,"Rivers Singleton, Jr"
744,Douglas Cazaux Sackman
38,Michael Lewis
39,Rosaura Ruiz-GutiéRrez
40,T Ackert Jr Lloyd
41,Alexander Weinstein
43,Christine Keiner
44,Elizabeth Hanson
45,Emanuel D Rudolph
46,Maria Trumpler
47,Marco Tamborini
48,André Ariew
49,Emily A Jones
50,P Colm Malone
51,Dominique A Tobbell
52,Allan M Brandt
53,Richard D French
54,Ronald Guttmann
55,Richard Frederick Rohde
56,Karen M Reeds
57,Nick Hopwood
58,Lily E Kay
59,Peter J Bowler
60,Ku Leuven
191,Sara F Tjossem
61,M Melissa Wolfe
62,Dennis M Mccullough
63,Howard P Segal
64,Curtis N Johnson
277,Eileen Crist
571,Georgiana Feldberg
66,Myles Jackson
67,Chris Manias
68,Deborah R Coen
69,Robert C Stauffer
70,Christian Baron
71,S S Schweber
72,David Hull
536,Scott Gordon
73,James A Secord
74,Lehigh University
75,John Platt
76,James Braund
77,Diane Paul
78,Thomas SöDerqvist
79,Jordan D Marché Ii
80,Gareth Nelson
81,Samantha K Muka
82,Chris Mcdermott
83,Rasmus G Winther
696,D George Joseph
85,Ronald Rainger
86,Alix Cooper
87,Emilie J Raymer
88,Adolfo Olea-Franco
89,Dean C Allard
90,Richard Bellon
92,Barbara Gutmann Rosenkrantz
93,Scott Podolsky
94,Gregg Mitman
257,Jacob Steere-Williams
96,David M Quinlan
97,Christophe Bonneuil
98,Paul Farber
99,Peter J Vorzimmer
100,Frieda Knobloch
101,Sydney Smith
102,Libby Robin
103,Michael Ruse
104,Richard Weikart
731,Valerie Hardcastle
105,Douglas Allchin
106,Peter F Stevens
91,Peter Weingart
709,Mark A Largent
109,Peder Anker
110,Louise Jarvis
111,Lynn Margulis
72,David L Hull
113,Leon Chernyak
114,Valerie Lester
115,Bert Theunissen
711,Christoph H LüThy
117,Adele Abrahamsen
118,Jane R Camerini
119,Melinda B Fagan
120,Stuart Mccook
121,John Van Wyhe
122,Philip Lawrence
123,Richard M Burian
124,Garland E Allen
125,Joel Hagen
126,Michael Yudell
128,Neal C Gillespie
714,Wolf-Ernst Reif
131,James Rochester Shaw
133,Dov Ospovat
134,Ernst Mayr
56,Karen Reeds
136,Megan Raby
137,FrançOis Delaportex
138,Ralph W Dexter
139,Frank J Sulloway
140,Evelleen Richards
717,Aaron J Ihde
142,Helen Tilley
143,Ernst-August Seyfarth
144,Muriel Blaisdell
145,Stanley Finger
146,"John P Jackson, Jr"
623,Ida H Stamhuis
147,Miriam Balaban
148,Rachel A Ankeny
149,Adam R Shapiro
150,William Dejong-Lambert
151,Joy Harvey
152,Sherrie L Lyons
153,John Carson
154,Anne Fausto-Sterling
56,Karen Meier Reeds
158,Raphael Falk
159,Judith H Goetzl
160,Steve Fifield
161,John F Cornell
162,Arthur M Silverstein
299,Ruth G Rinard
163,SteindóR J Erlingsson
164,Hisao Uchida
617,Frederick Gregory
165,Elazar Barkan
166,Manfred D Laubichler
167,Robert Guralnick
168,Merriley Borell
169,Soraya De Chadarevian
170,Tulley Long
171,Malte C Ebach
172,Betsy Keithley
204,James Llana
174,Rob Desalle
579,Joanne Woiak
93,Scott H Podolsky
178,John Lyon
469,John Parascandola
181,Christoph Irmscher
182,Daniela Bleichmar
183,Emmanuel D'Hombres
184,Vassiliki Betty Smocovitis
185,Kathy J Cooke
301,Neil Jumonville
187,Jason Scott Robert
188,Sheila Weiss
189,Nils Roll-Hansen
190,Jonathan Marks
191,Sara Tjossem
192,Rena E Selya
193,Peter S Alagona
713,Gina Rumore
194,Gary C Hatfield
195,Tamara Miner Haygood
196,Richard Gawne
192,Rena Selya
198,Kim Fortun
199,Kevin Francis
200,Marsha Richmond
201,M D Grmek
202,Jerry Stannard
149,Adam Shapiro
173,Liliane Bodson
206,Josef BrožEk
474,Ian R Mackay
207,Alberto Cambrosio
208,Devin Henry
209,Ehud Lamm
210,Carlos LóPez-BeltráN
472,Dorothee Brantz
211,Frederic L Holmes
730,Edward Manier
213,James G Tabery
214,Shelley Innes
215,Carl J Bajema
216,Viktor Hamburger
217,Pamela M Henson
218,Thierry Hoquet
629,Yves Gingras
219,Nancy S Hall
220,David B Kitts
221,Piers J Hale
222,Leeann Hansen
223,Oren Harman
225,Hyung Wook Park
226,Theodore M Brown
297,Christine L Manganaro
227,C U M Smith
228,Amy Sue Bix
229,Sander Gliboff
231,Brad D Hume
232,Nathaniel C Comfort
233,Paul Jerome Croce
234,"Mark V Barrow, Jr"
235,Kristie Macrakis
236,Peter J Koehler
237,James E Strick
238,Matthew J James
239,Elizabeth B Kenney
125,Joel B Hagen
241,Vidyanand Nanjundiah
77,Diane B Paul
243,Chris Young
244,Ingo Brigandt
245,Ruth Schwartz Cowan
246,Laura Cameron
247,R Allen Shotwell
248,Michael J Klein
249,Ulrike Hillemann
616,Ann B Shteir
250,Susan M Billings
251,I D Raacke
252,Marilyn Bailey Ogilvie
253,Alan C Love
254,Jane O'Hara-May
255,R G F.
507,Kate Holterhoff
739,Randall D Bird
260,Steven P R Rose
262,Tara H Abraham
263,MaríA JesúS Santesmases
264,Michael Fortun
265,Ralph H Lutts
597,David W Steadman
267,John M Lynch
268,Phillip R Sloan
269,Fabienne Smith
270,Leo Marx
443,Michael Boylan
271,Paolo Palladino
272,Brian W Ogilvie
273,Håkon B Stokland
274,Adrian Desmond
275,M VáVra
276,Scott F Gilbert
65,David Sepkoski
278,John Beatty
279,Charles H Smith
280,Francisco LouçÃ
281,Ronald P Ladouceur
282,Philip J Pauly
283,Carl F Craver
465,R Alan Richardson
285,Alain F Corcos
21,Angela N H Creager
287,Arlin Stoltzfus
289,Douglas G Sutton
290,Anton Struchkov
291,Duncan M Porter
292,Judy Johns Schloegel
293,R J Willis
746,Piotr KöHler
295,William Eamon
296,Benjamin R Cohen
297,Christine Manganaro
319,Audra J Wolfe
299,R G Rinard
300,Frank Burch Brown
186,Iris Sandler
302,Nurit Kirsh
303,Matthew Morse Booker
304,James R Griesemer
305,Gabriel Henderson
306,Nadine Weidman
307,Samuel S Kottek
308,Evelyn Fox Keller
309,Ronald L Numbers
310,Nicolas Robin
468,Etienne Benson
312,Stephane Schmitt
313,Sharon E Kingsland
314,Tobias Cheung
315,Michael Kucher
98,Paul Lawrence Farber
317,Susan Lindee
318,Jacob Darwin Hamblin
