DOI,Author
10.1007/s10739-014-9393-0,273
10.2307/41488391,405
10.2307/41488392,319
10.2307/41488395,104
10.2307/41488426,78
10.2307/41488397,43
10.2307/41488396,668
10.1007/s10739-015-9406-7,223
10.1007/s10739-012-9346-4,580
10.2307/4330841,77
10.2307/40801950,360
10.2307/4330843,430
10.2307/4330842,467
10.2307/40801955,200
10.2307/4330844,186
10.2307/4330847,588
10.1007/s10739-015-9401-z,537
10.2307/4331619,72
10.2307/4331701,319
10.2307/41488458,668
10.2307/41488459,221
10.2307/41488452,635
10.2307/41488453,256
10.2307/41488451,115
10.2307/41488456,124
10.2307/41488457,423
10.2307/41488454,436
10.2307/41488455,733
10.1007/s10739-015-9402-y,47
10.2307/4331423,86
10.2307/4331222,84
10.2307/4331223,411
10.2307/4331220,125
10.2307/4331221,234
10.2307/4331227,134
10.2307/4331228,412
10.2307/4331229,449
10.2307/4331530,228
10.2307/4331318,796
10.2307/4331319,58
10.2307/4331316,483
10.2307/4331317,3
10.2307/4331314,94
10.2307/4331315,124
10.2307/4331312,544
10.2307/4331313,313
10.2307/4331310,592
10.2307/4331311,184
10.2307/4331954,98
10.2307/4331955,234
10.2307/4331484,326
10.2307/4331485,807
10.2307/40271569,267
10.2307/4331483,788
10.2307/4331952,567
10.2307/4331953,686
10.2307/40271565,153
10.2307/40271564,124
10.2307/40271567,594
10.2307/40271566,582
10.2307/4331958,90
10.2307/40271560,189
10.2307/40271562,478
10.2307/4331558,16
10.2307/4331559,328
10.2307/4330573,456
10.2307/4330572,703
10.2307/4330574,768
10.2307/4330577,98
10.2307/4330576,727
10.2307/4330579,674
10.2307/4330578,663
10.2307/4331000,168
10.2307/4331001,743
10.2307/4331554,539
10.2307/4331004,151
10.2307/4331557,90
10.2307/4331828,3
10.2307/4331829,425
10.2307/4331798,387
10.2307/4331792,501
10.2307/4331821,437
10.2307/4331790,419
10.2307/4331826,217
10.2307/4331795,555
10.2307/4331527,125
10.2307/4331526,156
10.2307/4330688,324
10.2307/4330683,255
10.2307/4330682,255
10.2307/4330681,255
10.2307/4330680,255
10.2307/4330687,324
10.2307/4330686,324
10.2307/4330685,324
10.2307/4330684,255
10.2307/4331176,9
10.2307/4331177,234
10.2307/4331174,781
10.2307/4331175,690
10.2307/4331172,271
10.2307/4331173,1
10.2307/4331173,337
10.2307/4331170,326
10.2307/4331171,95
10.2307/4331178,796
10.2307/4331179,9
10.2307/4330759,212
10.2307/4330974,421
10.2307/4330977,495
10.2307/4330976,551
10.2307/4330971,751
10.2307/4330971,278
10.2307/4330971,551
10.2307/4330970,751
10.2307/4330970,278
10.2307/4330970,551
10.2307/4330973,125
10.2307/4330972,489
10.2307/4330751,503
10.2307/4330750,407
10.2307/4330753,727
10.2307/4330752,71
10.2307/4330755,768
10.2307/4330754,768
10.2307/4330757,212
10.2307/4330756,212
10.1007/s10739-013-9373-9,718
10.1007/s10739-015-9408-5,339
10.2307/4330999,128
10.2307/4330996,751
10.2307/4330995,477
10.2307/4330994,313
10.2307/4330993,796
10.2307/4330992,570
10.2307/4330991,561
10.2307/4330990,268
10.1007/s10739-015-9404-9,450
10.2307/41488448,103
10.2307/41488445,257
10.2307/41488444,777
10.2307/41488447,221
10.2307/41488446,590
10.2307/41488441,823
10.2307/41488440,183
10.2307/41488443,394
10.2307/41488442,795
10.1007/s10739-014-9377-0,507
10.2307/4331149,796
10.2307/4331148,151
10.2307/4330498,703
10.2307/40984889,532
10.2307/40984888,305
10.2307/40984887,146
10.2307/40984886,796
10.2307/40984885,506
10.2307/40984884,11
10.2307/40984883,526
10.2307/40984882,125
10.2307/40984881,266
10.2307/40984880,695
10.2307/4331369,239
10.2307/4331368,205
10.2307/4331363,763
10.2307/4331362,496
10.2307/4331367,555
10.2307/4331366,84
10.2307/4331365,623
10.2307/4331364,152
10.2307/4331965,820
10.2307/4331967,654
10.2307/4331966,575
10.2307/4331969,244
10.2307/4331968,447
10.2307/4330568,268
10.2307/4330569,134
10.2307/4330566,461
10.2307/4330564,577
10.2307/4330565,285
10.2307/4330562,250
10.2307/4330563,358
10.2307/4330560,324
10.2307/4330561,254
10.2307/4331565,50
10.2307/4331565,13
10.2307/4331565,716
10.2307/4331564,748
10.2307/4331567,37
10.2307/4331566,392
10.2307/4331560,555
10.2307/4331563,204
10.2307/4331569,319
10.2307/4331568,707
10.2307/4331767,434
10.2307/4331814,229
10.2307/4331765,110
10.2307/4331764,88
10.2307/4331811,326
10.2307/4331810,248
10.2307/4331761,301
10.2307/4331812,42
10.2307/4331819,843
10.2307/4331818,243
10.2307/4331769,234
10.2307/4331768,59
10.2307/4331589,237
10.2307/4331588,473
10.2307/4331587,148
10.2307/4331586,742
10.2307/4331585,200
10.2307/4331584,534
10.2307/4331581,85
10.2307/4331580,98
10.2307/4330691,404
10.2307/4330692,298
10.2307/4330693,122
10.2307/4330694,751
10.2307/4330695,189
10.2307/4330696,768
10.2307/4331102,796
10.2307/4331101,796
10.2307/4331100,288
10.2307/4331107,536
10.2307/4331106,140
10.2307/4331523,751
10.2307/4331523,124
10.2307/4331523,216
10.2307/4331523,521
10.2307/4331109,59
10.2307/4331108,446
10.2307/4330962,313
10.2307/4330963,73
10.2307/4330744,14
10.2307/4330961,151
10.2307/4330967,322
10.2307/4330965,151
10.2307/4331617,555
10.2307/4331616,343
10.2307/4331615,346
10.2307/4331614,174
10.2307/4331614,126
10.2307/4331613,381
10.2307/4331612,234
10.2307/4331611,516
10.2307/4331610,83
10.1007/s10739-015-9416-5,218
10.2307/4330989,706
10.2307/4330984,588
10.2307/4330985,796
10.2307/4330980,477
10.2307/4330981,313
10.2307/4330982,407
10.2307/4330983,85
10.2307/4330885,588
10.2307/4330884,588
10.1007/s10739-014-9383-2,762
10.1007/s10739-014-9383-2,287
10.2307/29737538,582
10.2307/29737539,234
10.1007/s10739-013-9366-8,735
10.2307/29737530,76
10.2307/29737530,289
10.2307/29737531,808
10.2307/29737532,445
10.2307/29737533,231
10.2307/29737534,797
10.2307/29737535,223
10.2307/29737536,243
10.2307/29737537,726
10.2307/4331774,331
10.2307/4331803,401
10.2307/4331803,765
10.2307/4331770,510
10.2307/4331771,180
10.1007/s10739-012-9335-7,314
10.2307/4331772,98
10.2307/4331805,125
10.1007/s10739-012-9338-4,171
10.1007/s10739-012-9338-4,256
10.1007/s10739-012-9338-4,374
10.1007/s10739-013-9362-z,362
10.1007/s10739-013-9362-z,481
10.2307/4330777,796
10.2307/4330776,751
10.2307/4331378,93
10.2307/4331379,694
10.2307/4331370,519
10.2307/4331371,483
10.2307/4331372,234
10.2307/4331373,3
10.2307/4331376,282
10.2307/4331377,559
10.2307/4330513,340
10.2307/4330512,34
10.2307/4330511,11
10.2307/4330510,673
10.2307/4330517,476
