DOI,AboutLocation,AuthorLocation
10.2307/41488394,5128581,4914512
10.2307/41488394,4560349,4914512
10.2307/41488394,4887398,4914512
10.2307/41488425,2186224,2654710
10.2307/41488425,6269131,2654710
10.2307/4330841,6269131,4930956
10.2307/4330842,2782113,-1
10.2307/4330845,6251999,5725846
10.2307/4330844,3017382,-1
10.2307/4330846,-1,-1
10.2307/41488458,6252001,-1
10.2307/41488459,2017370,-1
10.2307/41488452,4140963,4140963
10.2307/41488453,2921044,4887398
10.2307/41488451,6269131,-1
10.2307/41488456,-1,-1
10.2307/41488457,6252001,-1
10.2307/41488454,3367577,2855745
10.2307/41488455,390903,281184
10.2307/4331610,6269131,4254679
10.2307/4331222,-1,-1
10.2307/4331223,6252001,5113752
10.2307/4331220,6252001,4140963
10.2307/4331227,6269131,4931972
10.2307/4331228,-1,-1
10.2307/4331229,2017370,-1
10.2307/4331317,6252001,4460162
10.2307/4331314,6252001,-1
10.2307/4331315,-1,-1
10.2307/4331312,2921044,4843786
10.2307/4331313,-1,-1
10.2307/4331310,6269131,4931972
10.2307/4331311,-1,4156404
10.2307/4331486,-1,5113752
10.2307/4331487,6252001,-1
10.2307/4331487,6251999,-1
10.2307/4331956,6252001,4984247
10.2307/4331485,2921044,-1
10.2307/4331482,6252001,-1
10.2307/4331483,6252001,-1
10.2307/4331480,6252001,-1
10.2307/4331481,6252001,2988507
10.2307/40271565,6269131,-1
10.2307/40271564,5113223,-1
10.2307/40271564,6252001,-1
10.2307/40271567,6252001,4347778
10.2307/40271566,-1,-1
10.2307/40271561,5128581,5102922
10.2307/40271561,6269131,5102922
10.2307/40271560,2623032,3143244
10.2307/40271560,2618425,3143244
10.2307/40271563,4929024,5391811
10.2307/40271562,6252001,5351247
10.2307/4330571,-1,-1
10.2307/4330570,2618425,5969423
10.2307/4330570,2921044,5969423
10.2307/4330573,-1,4956184
10.2307/4330572,1275004,4834157
10.2307/4330572,6269131,4834157
10.2307/4330574,3171728,4929022
10.2307/4330574,7288046,4929022
10.2307/4330577,3017382,5720727
10.2307/4330576,7288046,4931972
10.2307/4330576,2666199,4931972
10.2307/4330576,2946447,4931972
10.2307/4330579,2921044,4509177
10.2307/4330578,2921044,5969423
10.2307/4330578,6269131,5969423
10.2307/4331000,6252001,-1
10.2307/4331000,6269131,-1
10.2307/4331001,6252001,-1
10.2307/4331555,-1,-1
10.2307/4331556,4099753,-1
10.2307/4331557,6269131,4887398
10.2307/4331828,4846179,5141502
10.2307/4331829,6262131,4991640
10.2307/4331798,390903,-1
10.2307/4331820,6269131,-1
10.2307/4331821,2078025,-1
10.2307/4331821,2077456,-1
10.2307/4331790,4197000,-1
10.2307/4331791,5332921,-1
10.2307/4331796,6252001,-1
10.2307/4331797,2077456,-1
10.2307/4331797,6251999,-1
10.2307/4331794,554234,-1
10.2307/4331794,1797929,-1
10.2307/4331827,5363943,5525577
10.2307/4331035,-1,-1
10.2307/4331526,6252001,-1
10.2307/4331526,6269131,-1
10.2307/4330688,3182230,-1
10.2307/4330685,6252001,-1
10.2307/4330684,-1,-1
10.2307/4331176,3017382,-1
10.2307/4331177,6252001,-1
10.2307/4331174,2921044,5261457
10.2307/4331175,390903,4887398
10.2307/4331172,6252001,2643123
10.2307/4331173,-1,2643123
10.2307/4331170,6252001,2988507
10.2307/4331171,6252001,5856195
10.2307/4331179,2988507,4929022
10.2307/4330759,390903,-1
10.2307/4330758,2510769,-1
10.2307/4330977,-1,5318313
10.2307/4330976,5113223,5317058
10.2307/4330971,6252001,5317058
10.2307/4330971,6252001,5037649
10.2307/4330973,6252001,4351977
10.2307/4330973,6269131,4351977
10.2307/4330972,-1,5261457
10.2307/4330751,6269131,5720727
10.2307/4330750,6269131,2643743
10.2307/4330753,6252001,4931972
