,Identifier,Latitude,Longitude,Name,CountryCode,CountryID
0,4914512,41.78976,-87.59976999999999,University of Chicago,US,6252001
1,5128581,40.71427,-74.00596999999999,New York,US,6252001
2,4560349,39.952329999999996,-75.16379,Philadelphia,US,6252001
3,4887398,41.85003,-87.65005,Chicago,US,6252001
4,2654710,50.828379999999996,-0.13947,Brighton,GB,2635167
5,2186224,-42.0,174.0,New Zealand,NZ,2186224
6,6269131,52.16045,-0.70312,England,GB,2635167
7,4930956,42.35843,-71.05977,Boston,US,6252001
8,2782113,47.33333,13.333329999999998,Austria,AT,2782113
9,5725846,44.05207,-123.08675,Eugene,US,6252001
10,6251999,60.10867,-113.64258000000001,Canada,CA,6251999
11,3017382,46.0,2.0,France,FR,3017382
12,6252001,39.76,-98.5,United States,US,6252001
13,2017370,60.0,100.0,Russia,RU,2017370
14,4140963,38.895109999999995,-77.03636999999999,Washington,US,6252001
15,2921044,51.5,10.5,Germany,DE,2921044
16,2855745,51.71905,8.754389999999999,Paderborn,DE,2921044
17,3367577,-34.3586,18.47265,Cape of Good Hope,ZA,953987
18,281184,31.769040000000004,35.21633,Jerusalem,IL,294640
19,390903,39.0,22.0,Greece,GR,390903
20,4254679,39.16533,-86.52639,Bloomington,US,6252001
21,5113752,42.44702,-76.483,Cornell University,US,6252001
22,4931972,42.3751,-71.10561,Cambridge,US,6252001
23,4460162,35.9132,-79.05584,Chapel Hill,US,6252001
24,4843786,41.80843,-72.24951999999999,Storrs,US,6252001
25,4156404,29.651629999999997,-82.32483,Gainesville,US,6252001
26,4984247,42.27756,-83.74088,Ann Arbor,US,6252001
27,2988507,48.85341,2.3488,Paris,FR,3017382
28,5113223,40.87149,-73.45679,Cold Spring Harbor,US,6252001
29,4347778,39.29038,-76.61219,Baltimore,US,6252001
30,5102922,40.34872,-74.65905,Princeton,US,6252001
31,3143244,59.91273,10.746089999999999,Oslo,NO,3144096
32,2623032,56.0,10.0,Denmark,DK,2623032
33,2618425,55.675940000000004,12.56553,Copenhagen,DK,2623032
34,5391811,32.71533,-117.15726000000001,San Diego,US,6252001
35,4929024,42.37092,-72.5162,Amherst College,US,6252001
36,5351247,33.870290000000004,-117.92533999999999,Fullerton,US,6252001
37,5969423,44.646,-63.573330000000006,Halifax,CA,6251999
38,4956184,42.26259,-71.80229,Worcester,US,6252001
39,4834157,41.14121,-73.26373000000001,Fairfield,US,6252001
40,1275004,22.56263,88.36304,Kolkata,IN,1269750
41,4929022,42.36723,-72.51852,Amherst,US,6252001
42,3171728,45.40797,11.885860000000001,Padua,IT,3175395
43,7288046,52.203,0.12,Cambridge University,GB,2635167
44,5720727,44.56457,-123.26203999999998,Corvallis,US,6252001
45,2666199,59.858819999999994,17.63889,Uppsala,SE,2661886
46,2946447,50.73438,7.09549,Bonn,DE,2921044
47,4509177,39.96118,-82.99879,Columbus,US,6252001
48,4099753,34.750370000000004,-92.50044,Arkansas,US,6252001
49,5141502,42.72841,-73.69179,Troy,US,6252001
50,4846179,41.311209999999996,-72.92649,Yale University,US,6252001
51,4991640,42.736979999999996,-84.48387,East Lansing,US,6252001
52,6262131,16.03389,-1.08083,Amadioum,ML,2453866
53,2078025,-34.92866,138.59863,Adelaide,AU,2077456
54,2077456,-25.0,135.0,Australia,AU,2077456
55,4197000,32.75042,-83.50018,Georgia,US,6252001
56,5332921,37.25022,-119.75126000000002,California,US,6252001
57,554234,54.70649,20.51095,Kaliningrad,RU,2017370
58,1797929,36.06605,120.36939,Qingdao,CN,1814991
59,5525577,33.57786,-101.85517,Lubbock,US,6252001
60,5363943,32.84727,-117.2742,La Jolla,US,6252001
61,3182230,45.98772,9.26182,Bellagio,IT,3175395
62,5261457,43.07305,-89.40123,Madison,US,6252001
63,2643123,53.48095,-2.23743,Manchester,GB,2635167
64,5856195,21.30694,-157.85833,Honolulu,US,6252001
65,2510769,40.0,-4.0,Spain,ES,2510769
66,5318313,32.221740000000004,-110.92648,Tucson,US,6252001
67,5317058,33.414770000000004,-111.90931,Tempe,US,6252001
68,5037649,44.97997,-93.26384,Minneapolis,US,6252001
69,4351977,38.98067,-76.93692,College Park,US,6252001
70,2643743,51.50853,-0.12574000000000002,London,GB,2635167
71,4954380,42.376490000000004,-71.23561,Waltham,US,6252001
72,1269750,22.0,79.0,India,IN,1269750
73,3469034,-10.0,-55.0,Brazil,BR,3469034
74,4180439,33.749,-84.38798,Atlanta,US,6252001
75,5327684,37.871590000000005,-122.27275,Berkeley,US,6252001
76,8469294,41.70019,-86.23793,Notre Dame,US,6252001
77,5992500,44.22976,-76.48098,Kingston,CA,6251999
78,5109177,42.098690000000005,-75.91797,Binghamton,US,6252001
79,2996944,45.748459999999994,4.84671,Lyon,FR,3017382
80,2973495,44.80477,-0.59543,Talence,FR,3017382
81,2797656,51.05,3.7166699999999997,Ghent,BE,2802361
82,295530,31.25181,34.7913,Beersheba,IL,294640
83,4543762,35.222570000000005,-97.43948,Norman,US,6252001
84,293397,32.08088,34.780570000000004,Tel Aviv,IL,294640
85,4780837,37.13179,-80.57645,Radford,US,6252001
86,293807,32.1836,34.87386,Ra'anana,IL,294640
87,4839366,41.30815,-72.92815999999999,New Haven,US,6252001
88,5341704,38.544909999999994,-121.74051999999999,Davis,US,6252001
89,2147714,-33.86785,151.20731999999998,Sydney,AU,2077456
90,2879139,51.339620000000004,12.37129,Leipzig,DE,2921044
91,3175395,42.83333,12.83333,Italy,IT,3175395
92,934292,-20.3,57.583330000000004,Mauritius,MU,934292
93,2750405,52.25,5.75,Netherlands,NL,2750405
94,4744326,37.58514,-79.05141,Amherst,US,6252001
95,2644688,53.79648,-1.54785,Leeds,GB,2635167
96,4138106,38.91706,-77.00025,"Washington, D.C.",US,6252001
97,5206379,40.44062,-79.99589,Pittsburgh,US,6252001
98,5122432,42.44063,-76.49661,Ithaca,US,6252001
99,2629131,65.46575,-15.48877,Kollseyra,IS,2629691
100,2650225,55.952059999999996,-3.1964799999999998,Edinburgh,GB,2635167
101,2655603,52.48141999999999,-1.89983,Birmingham,GB,2635167
102,2657832,57.14369,-2.0981400000000003,Aberdeen,GB,2635167
103,4143861,39.68372,-75.74965999999999,Newark,US,6252001
104,4846834,42.03471,-93.61994,Ames,US,6252001
105,5144040,40.75566,-73.58763,Westbury,US,6252001
106,4174715,30.438259999999996,-84.28073,Tallahassee,US,6252001
107,2661886,62.0,15.0,Sweden,SE,2661886
108,1845136,37.87472,127.73416999999999,Chuncheon,KR,1835841
109,2172563,-33.88965,151.17642,Camperdown,AU,2077456
110,2745912,52.09083,5.1222199999999996,Utrecht,NL,2750405
111,4990729,42.33143,-83.04575,Detroit,US,6252001
112,2950159,52.52437,13.41053,Berlin,DE,2921044
113,2658434,47.00016,8.01427,Switzerland,CH,2658434
114,4914570,40.11059,-88.20727,Urbana,US,6252001
115,5368361,34.05223,-118.24368,Los Angeles,US,6252001
116,2653941,52.2,0.11667000000000001,Cambridge,GB,2635167
117,4482348,35.500690000000006,-80.00032,North Carolina,US,6252001
118,4597040,34.00043,-81.00009,South Carolina,US,6252001
119,2171507,-34.424,150.89345,Wollongong,AU,2077456
120,2655984,54.596819999999994,-5.92541,Belfast,GB,2635167
121,524901,55.752219999999994,37.615559999999995,Moscow,RU,2017370
122,2965140,51.89797,-8.47061,Cork,IE,2963597
123,2193733,-36.86667,174.76667,Auckland,NZ,2186224
124,2190324,-37.78333,175.28333,Hamilton,NZ,2186224
125,2792482,50.87959,4.7009300000000005,Leuven,BE,2802361
126,2802361,50.75,4.5,Belgium,BE,2802361
127,4509884,39.75895,-84.19161,Dayton,US,6252001
128,2755251,53.21917,6.566669999999999,Groningen,NL,2750405
129,293788,32.08227,34.81065,Ramat Gan,IL,294640
130,3515431,19.54005,-99.19538,Tlalnepantla,MX,3996063
131,3996063,23.0,-102.0,Mexico,MX,3996063
132,5819244,41.583009999999994,-107.02198999999999,Bolten Ranch,US,6252001
133,4931482,42.331759999999996,-71.12116,Brookline,US,6252001
134,6091104,43.76681,-79.4163,North York,CA,6251999
135,2021044,43.23333,132.23333,Kyngol’,RU,2017370
136,5337696,34.09668,-117.71978,Claremont,US,6252001
137,1650535,-8.5,115.0,Bali,ID,1643084
138,1648148,1.0,114.0,Borneo,ID,1643084
139,357994,27.0,30.0,Egypt,EG,357994
140,5744337,44.00013,-120.50138999999999,Oregon,US,6252001
141,5815135,47.50012,-120.50147,Washington,US,6252001
142,5909050,53.99983,-125.0032,British Columbia,CA,6251999
143,4839822,41.1176,-73.4079,Norwalk,US,6252001
144,5134086,43.15478,-77.61556,Rochester,US,6252001
145,4407066,38.62727,-90.19789,St Louis,US,6252001
146,4155751,28.75054,-82.5001,Florida,US,6252001
147,4558942,39.846779999999995,-75.7116,Kennett Square,US,6252001
148,2800866,50.85045,4.3487800000000005,Brussels,BE,2802361
149,4845419,41.27065,-72.94705,West Haven,US,6252001
150,3658931,0.0,-90.5,Galapagos Islands,EC,3658394
151,4835797,41.763709999999996,-72.68509,Hartford,US,6252001
152,453733,59.0,26.0,Estonia,EE,453733
153,3077311,49.75,15.0,Czechia,CZ,3077311
154,6167865,43.700109999999995,-79.4163,Toronto,CA,6251999
155,2759794,52.37403,4.88969,Amsterdam,NL,2750405
