Entity,DOI,Page,Text,Start,End
9606,10.1007/s10739-011-9317-1,0,human,780,785
28980,10.1007/s10739-011-9317-1,0,Redwoods,1626,1634
9606,10.1007/s10739-011-9317-1,1,human,1276,1281
999462,10.1007/s10739-011-9317-1,10,Moose,612,617
9860,10.1007/s10739-011-9317-1,10,Elk,748,751
999462,10.1007/s10739-011-9317-1,10,Moose,917,922
37174,10.1007/s10739-011-9317-1,10,bighorn sheep,1143,1156
9614,10.1007/s10739-011-9317-1,10,coyotes,1158,1165
9870,10.1007/s10739-011-9317-1,10,caribou,1273,1280
999462,10.1007/s10739-011-9317-1,10,moose,1695,1700
9614,10.1007/s10739-011-9317-1,11,coyote,744,750
28980,10.1007/s10739-011-9317-1,11,Redwoods,1719,1727
28980,10.1007/s10739-011-9317-1,11,redwoods,1954,1962
28980,10.1007/s10739-011-9317-1,11,redwoods,2088,2096
9872,10.1007/s10739-011-9317-1,11,mule deer,2290,2299
28980,10.1007/s10739-011-9317-1,12,Redwoods,188,196
9606,10.1007/s10739-011-9317-1,12,human,682,687
9606,10.1007/s10739-011-9317-1,12,human,907,912
999462,10.1007/s10739-011-9317-1,12,moose,1565,1570
9606,10.1007/s10739-011-9317-1,12,man,1574,1577
9606,10.1007/s10739-011-9317-1,12,human,1805,1810
9860,10.1007/s10739-011-9317-1,13,elk,919,922
999462,10.1007/s10739-011-9317-1,13,moose,927,932
9606,10.1007/s10739-011-9317-1,13,man,1159,1162
8574,10.1007/s10739-011-9317-1,13,Boas,1208,1212
9606,10.1007/s10739-011-9317-1,13,human,1418,1423
9606,10.1007/s10739-011-9317-1,13,Homo sapiens,2364,2376
9606,10.1007/s10739-011-9317-1,14,human,1594,1599
28980,10.1007/s10739-011-9317-1,14,redwoods,1740,1748
9870,10.1007/s10739-011-9317-1,14,caribou,1779,1786
52644,10.1007/s10739-011-9317-1,14,bald eagle,1795,1805
9606,10.1007/s10739-011-9317-1,16,man,604,607
28980,10.1007/s10739-011-9317-1,18,redwoods,82,90
83971,10.1007/s10739-011-9317-1,18,Lake,682,686
83971,10.1007/s10739-011-9317-1,18,Lake,698,702
83971,10.1007/s10739-011-9317-1,18,Lake,1218,1222
28980,10.1007/s10739-011-9317-1,19,Redwoods,887,895
9606,10.1007/s10739-011-9317-1,2,human,1694,1699
9606,10.1007/s10739-011-9317-1,2,human,1823,1828
9860,10.1007/s10739-011-9317-1,2,elk,1916,1919
9031,10.1007/s10739-011-9317-1,20,chicken,1035,1042
9940,10.1007/s10739-011-9317-1,20,sheep,1248,1253
9614,10.1007/s10739-011-9317-1,20,coyotes,1299,1306
9614,10.1007/s10739-011-9317-1,20,coyotes,1378,1385
9614,10.1007/s10739-011-9317-1,20,coyotes,1404,1411
9940,10.1007/s10739-011-9317-1,20,lambs,1417,1422
9614,10.1007/s10739-011-9317-1,20,coyotes,1530,1537
9689,10.1007/s10739-011-9317-1,20,lions,1651,1656
9614,10.1007/s10739-011-9317-1,20,coyotes,1663,1670
28980,10.1007/s10739-011-9317-1,20,redwoods,2187,2195
28980,10.1007/s10739-011-9317-1,20,redwoods,2334,2342
28980,10.1007/s10739-011-9317-1,20,Redwoods,2540,2548
28980,10.1007/s10739-011-9317-1,21,redwood,57,64
28980,10.1007/s10739-011-9317-1,21,Redwoods,230,238
9860,10.1007/s10739-011-9317-1,21,Elk,460,463
28980,10.1007/s10739-011-9317-1,21,Redwoods,566,574
9606,10.1007/s10739-011-9317-1,21,human,748,753
9031,10.1007/s10739-011-9317-1,21,chicken,1334,1341
381124,10.1007/s10739-011-9317-1,21,corn,1346,1350
7460,10.1007/s10739-011-9317-1,21,Bee,2430,2433
9606,10.1007/s10739-011-9317-1,22,humans,634,640
9606,10.1007/s10739-011-9317-1,22,humans,1371,1377
9606,10.1007/s10739-011-9317-1,22,human,1422,1427
9606,10.1007/s10739-011-9317-1,22,Man,1447,1450
9986,10.1007/s10739-011-9317-1,22,rabbits,2325,2332
3483,10.1007/s10739-011-9317-1,23,marijuana,799,808
3483,10.1007/s10739-011-9317-1,23,marijuana,896,905
8574,10.1007/s10739-011-9317-1,25,Boas,1241,1245
9606,10.1007/s10739-011-9317-1,27,Human,2221,2226
9606,10.1007/s10739-011-9317-1,27,human,2556,2561
9606,10.1007/s10739-011-9317-1,28,human,1914,1919
7460,10.1007/s10739-011-9317-1,28,Bee,2490,2493
28980,10.1007/s10739-011-9317-1,29,Redwoods,2290,2298
28980,10.1007/s10739-011-9317-1,29,Redwoods,2381,2389
9606,10.1007/s10739-011-9317-1,3,human,211,216
28980,10.1007/s10739-011-9317-1,30,Redwoods,203,211
28980,10.1007/s10739-011-9317-1,30,Redwoods,1706,1714
28980,10.1007/s10739-011-9317-1,30,redwood,2331,2338
28980,10.1007/s10739-011-9317-1,30,Redwoods,2492,2500
9606,10.1007/s10739-011-9317-1,31,human,695,700
9606,10.1007/s10739-011-9317-1,31,human,1048,1053
999462,10.1007/s10739-011-9317-1,31,moose,1777,1782
28980,10.1007/s10739-011-9317-1,31,redwoods,1796,1804
9606,10.1007/s10739-011-9317-1,31,human,2076,2081
9606,10.1007/s10739-011-9317-1,31,human,2607,2612
28980,10.1007/s10739-011-9317-1,32,redwoods,444,452
28980,10.1007/s10739-011-9317-1,32,redwoods,635,643
28980,10.1007/s10739-011-9317-1,32,redwood,791,798
28980,10.1007/s10739-011-9317-1,32,redwoods,1257,1265
28980,10.1007/s10739-011-9317-1,32,redwoods,1558,1566
9606,10.1007/s10739-011-9317-1,32,human,1580,1585
28980,10.1007/s10739-011-9317-1,32,redwood,1802,1809
28980,10.1007/s10739-011-9317-1,33,redwoods,399,407
28980,10.1007/s10739-011-9317-1,33,redwoods,667,675
9606,10.1007/s10739-011-9317-1,33,humans,701,707
9606,10.1007/s10739-011-9317-1,33,human,1132,1137
9606,10.1007/s10739-011-9317-1,33,man,1352,1355
9606,10.1007/s10739-011-9317-1,33,human,1597,1602
9606,10.1007/s10739-011-9317-1,33,humans,1896,1902
9606,10.1007/s10739-011-9317-1,35,humans,407,413
9606,10.1007/s10739-011-9317-1,35,human,624,629
9913,10.1007/s10739-011-9317-1,35,cattle,2184,2190
9606,10.1007/s10739-011-9317-1,35,human,2553,2558
9606,10.1007/s10739-011-9317-1,35,human,2770,2775
9606,10.1007/s10739-011-9317-1,36,man,184,187
29740,10.1007/s10739-011-9317-1,36,American elms,2512,2525
9606,10.1007/s10739-011-9317-1,37,human,587,592
29740,10.1007/s10739-011-9317-1,37,American elms,884,897
355937,10.1007/s10739-011-9317-1,37,tumbleweed,2392,2402
59946,10.1007/s10739-011-9317-1,38,Hake,2108,2112
7460,10.1007/s10739-011-9317-1,38,Bee,2281,2284
59946,10.1007/s10739-011-9317-1,38,Hake,2290,2294
9606,10.1007/s10739-011-9317-1,39,Human,67,72
9606,10.1007/s10739-011-9317-1,39,Human,246,251
111938,10.1007/s10739-011-9317-1,4,gatekeepers,1637,1648
9606,10.1007/s10739-011-9317-1,4,man,2676,2679
9606,10.1007/s10739-011-9317-1,5,human,3,8
9606,10.1007/s10739-011-9317-1,5,human,943,948
9606,10.1007/s10739-011-9317-1,5,human,1359,1364
9606,10.1007/s10739-011-9317-1,5,human,1635,1640
9606,10.1007/s10739-011-9317-1,6,human,116,121
28980,10.1007/s10739-011-9317-1,6,redwoods,1604,1612
9860,10.1007/s10739-011-9317-1,6,elk,1614,1617
999462,10.1007/s10739-011-9317-1,6,moose,1707,1712
9860,10.1007/s10739-011-9317-1,6,elk,1714,1717
28980,10.1007/s10739-011-9317-1,9,Redwoods,1772,1780
9606,10.1007/s10739-012-9319-7,0,human,1602,1607
9615,10.1007/s10739-012-9319-7,1,dog,123,126
9606,10.1007/s10739-012-9319-7,1,human,809,814
9606,10.1007/s10739-012-9319-7,1,human,2454,2459
9606,10.1007/s10739-012-9319-7,10,human,0,5
9606,10.1007/s10739-012-9319-7,10,human,265,270
9606,10.1007/s10739-012-9319-7,10,human,2438,2443
9606,10.1007/s10739-012-9319-7,11,human,420,425
9615,10.1007/s10739-012-9319-7,11,dogs,1074,1078
9606,10.1007/s10739-012-9319-7,11,human,1765,1770
9940,10.1007/s10739-012-9319-7,12,sheep,84,89
9685,10.1007/s10739-012-9319-7,12,cat,218,221
9615,10.1007/s10739-012-9319-7,12,dogs,809,813
9606,10.1007/s10739-012-9319-7,13,humans,282,288
9606,10.1007/s10739-012-9319-7,13,man,354,357
9796,10.1007/s10739-012-9319-7,14,horse,72,77
9606,10.1007/s10739-012-9319-7,17,human,561,566
9606,10.1007/s10739-012-9319-7,17,human,1774,1779
9615,10.1007/s10739-012-9319-7,18,dog,363,366
9615,10.1007/s10739-012-9319-7,18,dogs,2327,2331
9913,10.1007/s10739-012-9319-7,18,cattle,2333,2339
9823,10.1007/s10739-012-9319-7,18,pigs,2341,2345
9796,10.1007/s10739-012-9319-7,18,horses,2364,2370
9606,10.1007/s10739-012-9319-7,19,human,105,110
9606,10.1007/s10739-012-9319-7,2,human,204,209
9615,10.1007/s10739-012-9319-7,20,dog,54,57
7962,10.1007/s10739-012-9319-7,21,carp,1096,1100
9606,10.1007/s10739-012-9319-7,23,man,106,109
9615,10.1007/s10739-012-9319-7,23,dogs,1976,1980
9606,10.1007/s10739-012-9319-7,24,human,424,429
9606,10.1007/s10739-012-9319-7,24,humans,881,887
9606,10.1007/s10739-012-9319-7,24,man,1323,1326
9615,10.1007/s10739-012-9319-7,24,dog,1538,1541
9615,10.1007/s10739-012-9319-7,24,dogs,1640,1644
9606,10.1007/s10739-012-9319-7,24,man,2008,2011
9606,10.1007/s10739-012-9319-7,3,human,196,201
9606,10.1007/s10739-012-9319-7,3,humans,2144,2150
9606,10.1007/s10739-012-9319-7,4,humans,1668,1674
9606,10.1007/s10739-012-9319-7,4,human,1708,1713
9606,10.1007/s10739-012-9319-7,5,human,1149,1154
9606,10.1007/s10739-012-9319-7,5,human,1171,1176
9606,10.1007/s10739-012-9319-7,5,human,1207,1212
9606,10.1007/s10739-012-9319-7,5,humans,2074,2080
9615,10.1007/s10739-012-9319-7,6,dog,346,349
9615,10.1007/s10739-012-9319-7,6,dog,486,489
9685,10.1007/s10739-012-9319-7,6,cats,808,812
9940,10.1007/s10739-012-9319-7,6,lambs,814,819
9913,10.1007/s10739-012-9319-7,6,cows,821,825
9823,10.1007/s10739-012-9319-7,6,pigs,831,835
9796,10.1007/s10739-012-9319-7,6,horse,843,848
9606,10.1007/s10739-012-9319-7,6,humans,1732,1738
9606,10.1007/s10739-012-9319-7,6,humans,1802,1808
9606,10.1007/s10739-012-9319-7,6,humans,1895,1901
156483,10.1007/s10739-012-9319-7,7,Mani,1376,1380
9606,10.1007/s10739-012-9319-7,8,human,872,877
156483,10.1007/s10739-012-9319-7,8,Mani,2192,2196
9606,10.1007/s10739-012-9319-7,9,man,117,120
9606,10.1007/s10739-012-9319-7,9,human,498,503
381124,10.1007/s10739-012-9325-9,1,maize,1453,1458
9606,10.1007/s10739-012-9325-9,1,human,1502,1507
381124,10.1007/s10739-012-9325-9,1,Maize,1572,1577
92176,10.1007/s10739-012-9325-9,21,Iris fulva,282,292
381124,10.1007/s10739-012-9325-9,22,maize,251,256
381124,10.1007/s10739-012-9325-9,3,maize,1925,1930
255331,10.1007/s10739-012-9325-9,5,spiderworts,561,572
9606,10.1007/s10739-012-9326-8,1,human,2497,2502
9615,10.1007/s10739-012-9326-8,10,dogs,2511,2515
9615,10.1007/s10739-012-9326-8,12,dog,977,980
9615,10.1007/s10739-012-9326-8,12,dog,2488,2491
9615,10.1007/s10739-012-9326-8,13,dog,196,199
9615,10.1007/s10739-012-9326-8,13,dog,427,430
9615,10.1007/s10739-012-9326-8,15,dog,77,80
9615,10.1007/s10739-012-9326-8,15,dog,581,584
9615,10.1007/s10739-012-9326-8,15,dog,648,651
9615,10.1007/s10739-012-9326-8,17,dog,254,257
9823,10.1007/s10739-012-9326-8,17,pig,261,264
9823,10.1007/s10739-012-9326-8,17,pig,283,286
9615,10.1007/s10739-012-9326-8,17,dog,299,302
9606,10.1007/s10739-012-9326-8,19,human,223,228
9606,10.1007/s10739-012-9326-8,19,human,605,610
9606,10.1007/s10739-012-9326-8,19,humans,1875,1881
9606,10.1007/s10739-012-9326-8,19,humans,1926,1932
9606,10.1007/s10739-012-9326-8,19,human,2103,2108
9606,10.1007/s10739-012-9326-8,2,human,1040,1045
9606,10.1007/s10739-012-9326-8,2,human,1251,1256
9606,10.1007/s10739-012-9326-8,2,humans,1413,1419
9606,10.1007/s10739-012-9326-8,2,humans,2368,2374
9615,10.1007/s10739-012-9326-8,2,dogs,2649,2653
9823,10.1007/s10739-012-9326-8,2,pigs,2658,2662
9615,10.1007/s10739-012-9326-8,20,dogs,167,171
9615,10.1007/s10739-012-9326-8,20,dog,332,335
9615,10.1007/s10739-012-9326-8,20,dog,605,608
9615,10.1007/s10739-012-9326-8,20,dog,969,972
9615,10.1007/s10739-012-9326-8,20,dog,1161,1164
9615,10.1007/s10739-012-9326-8,20,dogs,1207,1211
9823,10.1007/s10739-012-9326-8,20,pigs,1217,1221
9823,10.1007/s10739-012-9326-8,20,pigs,1230,1234
9615,10.1007/s10739-012-9326-8,20,dog,2461,2464
9615,10.1007/s10739-012-9326-8,21,dog,449,452
9615,10.1007/s10739-012-9326-8,21,dog,652,655
9606,10.1007/s10739-012-9326-8,21,human,681,686
9615,10.1007/s10739-012-9326-8,21,dogs,1209,1213
9615,10.1007/s10739-012-9326-8,21,dog,2449,2452
9615,10.1007/s10739-012-9326-8,22,dog,36,39
9615,10.1007/s10739-012-9326-8,22,dog,106,109
9615,10.1007/s10739-012-9326-8,22,dog,319,322
9606,10.1007/s10739-012-9326-8,4,man,1517,1520
9606,10.1007/s10739-012-9326-8,5,humans,1957,1963
9606,10.1007/s10739-012-9326-8,6,human,105,110
9606,10.1007/s10739-012-9326-8,8,human,1317,1322
9606,10.1007/s10739-012-9326-8,9,human,584,589
9606,10.1007/s10739-012-9326-8,9,human,619,624
9606,10.1007/s10739-012-9327-7,0,humans,1053,1059
9615,10.1007/s10739-012-9327-7,10,dog,564,567
9606,10.1007/s10739-012-9327-7,10,man,616,619
9615,10.1007/s10739-012-9327-7,10,dogs,1260,1264
9606,10.1007/s10739-012-9327-7,10,man,1844,1847
9606,10.1007/s10739-012-9327-7,11,humans,2127,2133
3750,10.1007/s10739-012-9327-7,13,apples,545,551
3750,10.1007/s10739-012-9327-7,13,apple tree,560,570
9615,10.1007/s10739-012-9327-7,13,dog,1065,1068
8895,10.1007/s10739-012-9327-7,14,Swift,1577,1582
9615,10.1007/s10739-012-9327-7,14,dog,1731,1734
9615,10.1007/s10739-012-9327-7,15,dog,417,420
9615,10.1007/s10739-012-9327-7,15,dog,917,920
9615,10.1007/s10739-012-9327-7,15,dog,2010,2013
9615,10.1007/s10739-012-9327-7,16,dog,2036,2039
9615,10.1007/s10739-012-9327-7,16,dog,2127,2130
9615,10.1007/s10739-012-9327-7,16,dog,2178,2181
9615,10.1007/s10739-012-9327-7,17,dogs,1212,1216
9615,10.1007/s10739-012-9327-7,17,dog,1802,1805
9615,10.1007/s10739-012-9327-7,17,dogs,2263,2267
8895,10.1007/s10739-012-9327-7,17,swift,2579,2584
9615,10.1007/s10739-012-9327-7,18,dogs,679,683
9606,10.1007/s10739-012-9327-7,2,humans,723,729
9615,10.1007/s10739-012-9327-7,20,dog,459,462
9615,10.1007/s10739-012-9327-7,20,dog,504,507
9031,10.1007/s10739-012-9327-7,20,chick,1312,1317
6693,10.1007/s10739-012-9327-7,20,lobsters,1696,1704
9796,10.1007/s10739-012-9327-7,21,horse,549,554
9796,10.1007/s10739-012-9327-7,21,Horse,1353,1358
9615,10.1007/s10739-012-9327-7,21,Dog,1432,1435
9796,10.1007/s10739-012-9327-7,21,horse,1874,1879
9796,10.1007/s10739-012-9327-7,21,Horse,1936,1941
9615,10.1007/s10739-012-9327-7,21,Dog,1988,1991
9606,10.1007/s10739-012-9327-7,23,human,1866,1871
9606,10.1007/s10739-012-9327-7,23,human,1933,1938
9615,10.1007/s10739-012-9327-7,4,dog,106,109
9615,10.1007/s10739-012-9327-7,4,dog,1054,1057
9615,10.1007/s10739-012-9327-7,4,dog,1220,1223
9615,10.1007/s10739-012-9327-7,4,dog,1305,1308
9615,10.1007/s10739-012-9327-7,4,dog,1424,1427
9606,10.1007/s10739-012-9327-7,4,man,2042,2045
9615,10.1007/s10739-012-9327-7,4,dog,2313,2316
6693,10.1007/s10739-012-9327-7,5,lobsters,1403,1411
9685,10.1007/s10739-012-9327-7,5,cats,2314,2318
9615,10.1007/s10739-012-9327-7,8,dog,1411,1414
9615,10.1007/s10739-012-9327-7,8,dog,2158,2161
9615,10.1007/s10739-012-9327-7,8,dog,2485,2488
9606,10.1007/s10739-012-9327-7,9,man,351,354
10116,10.1007/s10739-012-9333-9,10,Rat,1666,1669
2242,10.1007/s10739-012-9333-9,10,Halobacterium halobium,2114,2136
10116,10.1007/s10739-012-9333-9,16,rat,2213,2216
3847,10.1007/s10739-012-9333-9,16,soybean,2300,2307
66662,10.1007/s10739-012-9333-9,18,balsa,700,705
66662,10.1007/s10739-012-9333-9,19,balsa,65,70
66662,10.1007/s10739-012-9333-9,20,balsa,2912,2917
9606,10.1007/s10739-012-9333-9,28,human,1897,1902
9606,10.1007/s10739-012-9333-9,28,human,2660,2665
12242,10.1007/s10739-012-9333-9,29,tobacco mosaic virus,610,630
12242,10.1007/s10739-012-9333-9,29,tobacco mosaic virus,1292,1312
9606,10.1007/s10739-012-9333-9,29,humans,2000,2006
9606,10.1007/s10739-012-9333-9,31,human,1284,1289
9606,10.1007/s10739-012-9333-9,8,humans,1995,2001
9606,10.1007/s10739-012-9334-8,0,Man,165,168
9606,10.1007/s10739-012-9334-8,0,humans,1131,1137
9606,10.1007/s10739-012-9334-8,0,humans,1190,1196
9606,10.1007/s10739-012-9334-8,0,humans,1378,1384
9606,10.1007/s10739-012-9334-8,0,human,1782,1787
9606,10.1007/s10739-012-9334-8,1,humans,805,811
9606,10.1007/s10739-012-9334-8,1,humans,1283,1289
9606,10.1007/s10739-012-9334-8,11,humans,1156,1162
9606,10.1007/s10739-012-9334-8,11,humans,1751,1757
9606,10.1007/s10739-012-9334-8,12,human,1883,1888
9606,10.1007/s10739-012-9334-8,13,humans,1225,1231
9606,10.1007/s10739-012-9334-8,13,Man,2006,2009
9606,10.1007/s10739-012-9334-8,13,humans,2118,2124
9606,10.1007/s10739-012-9334-8,13,man,2199,2202
9606,10.1007/s10739-012-9334-8,13,man,2342,2345
9606,10.1007/s10739-012-9334-8,13,man,2406,2409
9606,10.1007/s10739-012-9334-8,14,humans,408,414
9606,10.1007/s10739-012-9334-8,14,man,557,560
9606,10.1007/s10739-012-9334-8,14,humans,680,686
9606,10.1007/s10739-012-9334-8,14,humans,792,798
