Period,Taxon,Count,P
1968 - 1975,Ziziphus mauritiana,37,0.30327868852459017
1968 - 1975,Canis lupus familiaris,33,0.27049180327868855
1968 - 1975,Equus caballus,31,0.2540983606557377
1968 - 1975,Ovis aries,23,0.1885245901639344
1968 - 1975,Bos taurus,21,0.1721311475409836
1976 - 1983,Canis lupus familiaris,29,0.2013888888888889
1976 - 1983,Equus caballus,27,0.1875
1976 - 1983,Bos taurus,20,0.1388888888888889
1976 - 1983,Ziziphus mauritiana,20,0.1388888888888889
1976 - 1983,Gallus gallus,15,0.10416666666666667
1984 - 1991,Equus caballus,35,0.18421052631578946
1984 - 1991,Phleum pratense,31,0.1631578947368421
1984 - 1991,Canis lupus familiaris,25,0.13157894736842105
1984 - 1991,Alocasia macrorrhizos,21,0.11052631578947368
1984 - 1991,Ziziphus mauritiana,18,0.09473684210526316
1992 - 1999,Rattus norvegicus,31,0.12757201646090535
1992 - 1999,Equus caballus,27,0.1111111111111111
1992 - 1999,Sus scrofa,26,0.10699588477366255
1992 - 1999,Oryctolagus cuniculus,25,0.102880658436214
1992 - 1999,Mus musculus,25,0.102880658436214
2000 - 2007,Equus caballus,41,0.10379746835443038
2000 - 2007,Canis lupus familiaris,40,0.10126582278481013
2000 - 2007,Bos taurus,29,0.07341772151898734
2000 - 2007,Mus sp.,25,0.06329113924050633
2000 - 2007,Oryctolagus cuniculus,25,0.06329113924050633
2008 - 2016,Equus caballus,40,0.14035087719298245
2008 - 2016,Canis lupus familiaris,39,0.1368421052631579
2008 - 2016,Gallus gallus,32,0.11228070175438597
2008 - 2016,Bos taurus,31,0.10877192982456141
2008 - 2016,Felis catus,29,0.10175438596491228
