Topic,DOI,Probability,Assignments,Characteristic
0,10.1007/s10739-014-9393-0,0.000200240288346,1.0,0.0265276698683
1,10.1007/s10739-014-9393-0,0.000200240288346,1.0,0.0515680143129
2,10.1007/s10739-014-9393-0,0.000200240288346,1.0,0.0490718889401
4,10.1007/s10739-014-9393-0,0.00340408490188,17.0,0.0579063362961
6,10.1007/s10739-014-9393-0,0.00700841009211,35.0,0.999558104569
7,10.1007/s10739-014-9393-0,0.0394473368042,197.0,8.08017387338
9,10.1007/s10739-014-9393-0,0.00360432519023,18.0,0.844574527122
12,10.1007/s10739-014-9393-0,0.000600720865038,3.0,0.0337079645021
14,10.1007/s10739-014-9393-0,0.00180216259511,9.0,0.256638437121
16,10.1007/s10739-014-9393-0,0.000200240288346,1.0,0.0270525502322
18,10.1007/s10739-014-9393-0,0.000600720865038,3.0,0.120989091173
20,10.1007/s10739-014-9393-0,0.000800961153384,4.0,0.182830808891
23,10.1007/s10739-014-9393-0,0.00560672807369,28.0,0.162731539333
24,10.1007/s10739-014-9393-0,0.00160192230677,8.0,0.381634671587
27,10.1007/s10739-014-9393-0,0.184421305567,921.0,5.5499621562
31,10.1007/s10739-014-9393-0,0.00380456547857,19.0,0.0859511971436
34,10.1007/s10739-014-9393-0,0.0937124549459,468.0,2.49889517305
36,10.1007/s10739-014-9393-0,0.00160192230677,8.0,0.132894253117
43,10.1007/s10739-014-9393-0,0.0118141770124,59.0,0.420199114119
45,10.1007/s10739-014-9393-0,0.000200240288346,1.0,0.0170689474409
46,10.1007/s10739-014-9393-0,0.000600720865038,3.0,0.0509788977421
48,10.1007/s10739-014-9393-0,0.000600720865038,3.0,0.129714761608
49,10.1007/s10739-014-9393-0,0.29295154185,1463.0,40.8802656727
50,10.1007/s10739-014-9393-0,0.000600720865038,3.0,0.1597850746
52,10.1007/s10739-014-9393-0,0.0114136964357,57.0,2.61239769066
53,10.1007/s10739-014-9393-0,0.00160192230677,8.0,0.298278362749
54,10.1007/s10739-014-9393-0,0.00901081297557,45.0,1.26015903582
55,10.1007/s10739-014-9393-0,0.000200240288346,1.0,0.0811372970427
56,10.1007/s10739-014-9393-0,0.000600720865038,3.0,0.198893309642
57,10.1007/s10739-014-9393-0,0.00100120144173,5.0,0.280344732389
62,10.1007/s10739-014-9393-0,0.000400480576692,2.0,0.0707622112414
63,10.1007/s10739-014-9393-0,0.00440528634361,22.0,0.545092571741
64,10.1007/s10739-014-9393-0,0.00120144173008,6.0,0.165878269459
65,10.1007/s10739-014-9393-0,0.000600720865038,3.0,0.123795792719
66,10.1007/s10739-014-9393-0,0.00100120144173,5.0,0.177751128947
67,10.1007/s10739-014-9393-0,0.00320384461354,16.0,0.646605118572
68,10.1007/s10739-014-9393-0,0.00120144173008,6.0,0.0617480082157
69,10.1007/s10739-014-9393-0,0.000800961153384,4.0,0.0200382744899
73,10.1007/s10739-014-9393-0,0.00320384461354,16.0,0.958458968982
75,10.1007/s10739-014-9393-0,0.00240288346015,12.0,0.0425389714243
77,10.1007/s10739-014-9393-0,0.000800961153384,4.0,0.125515804096
79,10.1007/s10739-014-9393-0,0.000400480576692,2.0,0.0481892911498
80,10.1007/s10739-014-9393-0,0.0188225871045,94.0,8.8350463742
81,10.1007/s10739-014-9393-0,0.132158590308,660.0,6.4287825636
82,10.1007/s10739-014-9393-0,0.00420504605527,21.0,0.558403158224
84,10.1007/s10739-014-9393-0,0.000200240288346,1.0,0.0581121433016
86,10.1007/s10739-014-9393-0,0.0160192230677,80.0,0.387753827931
88,10.1007/s10739-014-9393-0,0.124349219063,621.0,15.1936112002
94,10.1007/s10739-014-9393-0,0.00180216259511,9.0,0.262636852763
95,10.1007/s10739-014-9393-0,0.00120144173008,6.0,0.09532608885
97,10.1007/s10739-014-9393-0,0.00220264317181,11.0,0.453592470797
3,10.2307/41488391,0.000605510142295,2.0,0.10317302784
4,10.2307/41488391,0.0333030578262,110.0,0.566512916616
8,10.2307/41488391,0.000302755071147,1.0,0.075452139691
12,10.2307/41488391,0.00302755071147,10.0,0.169883514707
13,10.2307/41488391,0.00272479564033,9.0,0.516623363792
16,10.2307/41488391,0.0136239782016,45.0,1.84060539318
17,10.2307/41488391,0.000605510142295,2.0,0.117557371213
23,10.2307/41488391,0.0326975476839,108.0,0.949024492911
25,10.2307/41488391,0.00242204056918,8.0,0.405649474357
26,10.2307/41488391,0.000302755071147,1.0,0.056358461481
27,10.2307/41488391,0.0832576445655,275.0,2.50554986113
28,10.2307/41488391,0.588555858311,1944.0,89.6385822355
29,10.2307/41488391,0.00756887677869,25.0,0.340998983337
30,10.2307/41488391,0.00302755071147,10.0,0.587389827972
31,10.2307/41488391,0.000908265213442,3.0,0.0205191585896
33,10.2307/41488391,0.00181653042688,6.0,0.183320440022
34,10.2307/41488391,0.0511656070239,169.0,1.36435960932
36,10.2307/41488391,0.0118074477748,39.0,0.979536864314
39,10.2307/41488391,0.000302755071147,1.0,0.061613366916
45,10.2307/41488391,0.00514683620951,17.0,0.438728277276
46,10.2307/41488391,0.00877989706328,29.0,0.745087278676
49,10.2307/41488391,0.020587344838,68.0,2.87288512345
51,10.2307/41488391,0.00151377535574,5.0,0.224326991638
53,10.2307/41488391,0.000605510142295,2.0,0.112746150739
54,10.2307/41488391,0.00877989706328,29.0,1.22786552643
55,10.2307/41488391,0.000302755071147,1.0,0.122676252326
57,10.2307/41488391,0.000605510142295,2.0,0.169547876906
59,10.2307/41488391,0.00393581592492,13.0,0.926584103749
60,10.2307/41488391,0.000302755071147,1.0,0.121205778757
62,10.2307/41488391,0.0278534665456,92.0,4.92151929011
64,10.2307/41488391,0.00393581592492,13.0,0.543402412444
65,10.2307/41488391,0.00242204056918,8.0,0.499131043565
68,10.2307/41488391,0.000605510142295,2.0,0.0311201486557
69,10.2307/41488391,0.0063578564941,21.0,0.159059491284
72,10.2307/41488391,0.00211928549803,7.0,0.265032977384
75,10.2307/41488391,0.0166515289131,55.0,0.294787044129
78,10.2307/41488391,0.00302755071147,10.0,0.464254757084
79,10.2307/41488391,0.000302755071147,1.0,0.0364301120197
81,10.2307/41488391,0.0136239782016,45.0,0.662730990889
82,10.2307/41488391,0.00787163184983,26.0,1.04530224581
86,10.2307/41488391,0.0130184680593,43.0,0.315118954426
88,10.2307/41488391,0.00363306085377,12.0,0.443905595024
89,10.2307/41488391,0.000302755071147,1.0,0.0358878749547
90,10.2307/41488391,0.000302755071147,1.0,0.102467917594
92,10.2307/41488391,0.000605510142295,2.0,0.0459520050368
93,10.2307/41488391,0.000908265213442,3.0,0.0948643614199
94,10.2307/41488391,0.00696336663639,23.0,1.01480116332
95,10.2307/41488391,0.000605510142295,2.0,0.0480430404397
98,10.2307/41488391,0.000302755071147,1.0,0.0555851447129
5,10.2307/41488392,0.0104849279161,8.0,3.1911688406
9,10.2307/41488392,0.00786369593709,6.0,1.84264097355
12,10.2307/41488392,0.00131061598952,1.0,0.0735419723563
15,10.2307/41488392,0.0144167758847,11.0,1.71444951415
18,10.2307/41488392,0.0235910878113,18.0,4.75139859489
23,10.2307/41488392,0.0393184796855,30.0,1.14119262417
27,10.2307/41488392,0.382699868938,292.0,11.516943681
29,10.2307/41488392,0.0904325032765,69.0,4.07423618848
30,10.2307/41488392,0.0563564875491,43.0,10.933996052
31,10.2307/41488392,0.00131061598952,1.0,0.0296089038101
52,10.2307/41488392,0.00262123197903,2.0,0.599954660373
63,10.2307/41488392,0.00393184796855,3.0,0.486511194437
64,10.2307/41488392,0.00131061598952,1.0,0.180951524176
75,10.2307/41488392,0.0733944954128,56.0,1.29932491311
76,10.2307/41488392,0.00262123197903,2.0,0.454267588869
81,10.2307/41488392,0.00393184796855,3.0,0.191262600516
82,10.2307/41488392,0.0642201834862,49.0,8.52802866107
83,10.2307/41488392,0.083879423329,64.0,14.1990212502
86,10.2307/41488392,0.0996068152031,76.0,2.4110360234
96,10.2307/41488392,0.0366972477064,28.0,5.84941366541
2,10.2307/41488427,0.000311720698254,1.0,0.0763918370844
5,10.2307/41488427,0.00124688279302,4.0,0.379498414179
6,10.2307/41488427,0.00716957605985,23.0,1.02254402393
7,10.2307/41488427,0.153054862843,491.0,31.3509099506
8,10.2307/41488427,0.0068578553616,22.0,1.70910385997
10,10.2307/41488427,0.0461346633416,148.0,4.49473449091
12,10.2307/41488427,0.00311720698254,10.0,0.174914354451
14,10.2307/41488427,0.00155860349127,5.0,0.221954203897
15,10.2307/41488427,0.00903990024938,29.0,1.07502902969
16,10.2307/41488427,0.000935162094763,3.0,0.126340806602
17,10.2307/41488427,0.000311720698254,1.0,0.0605193262338
18,10.2307/41488427,0.0149625935162,48.0,3.01356369734
21,10.2307/41488427,0.000935162094763,3.0,0.232481372301
23,10.2307/41488427,0.138092269327,443.0,4.00803592794
25,10.2307/41488427,0.0068578553616,22.0,1.14857094387
26,10.2307/41488427,0.0127805486284,41.0,2.37912466619
28,10.2307/41488427,0.000311720698254,1.0,0.0474758700477
29,10.2307/41488427,0.0445760598504,143.0,2.00827567083
30,10.2307/41488427,0.00311720698254,10.0,0.604784476868
31,10.2307/41488427,0.0240024937656,77.0,0.542254584709
34,10.2307/41488427,0.0427057356608,137.0,1.1387723944
40,10.2307/41488427,0.000311720698254,1.0,0.0417743355453
41,10.2307/41488427,0.00467581047382,15.0,0.995831602408
43,10.2307/41488427,0.0134039900249,43.0,0.47674456953
44,10.2307/41488427,0.00529925187032,17.0,0.570181132589
45,10.2307/41488427,0.0595386533666,191.0,5.07521315223
46,10.2307/41488427,0.000623441396509,2.0,0.0529070272909
48,10.2307/41488427,0.000311720698254,1.0,0.0673104238852
50,10.2307/41488427,0.000311720698254,1.0,0.0829142417447
51,10.2307/41488427,0.00374064837905,12.0,0.554328219487
52,10.2307/41488427,0.00249376558603,8.0,0.570779807812
54,10.2307/41488427,0.00467581047382,15.0,0.653910455619
57,10.2307/41488427,0.00249376558603,8.0,0.698275109004
61,10.2307/41488427,0.000311720698254,1.0,0.0459239147813
65,10.2307/41488427,0.000311720698254,1.0,0.0642390054901
66,10.2307/41488427,0.00124688279302,4.0,0.221368862334
67,10.2307/41488427,0.00436408977556,14.0,0.880767679826
68,10.2307/41488427,0.000311720698254,1.0,0.0160208620651
70,10.2307/41488427,0.0283665835411,91.0,1.36310195947
71,10.2307/41488427,0.0105985037406,34.0,2.04037203684
72,10.2307/41488427,0.00966334164589,31.0,1.20847531409
73,10.2307/41488427,0.00124688279302,4.0,0.373016216576
74,10.2307/41488427,0.000935162094763,3.0,0.133454826383
75,10.2307/41488427,0.208229426434,668.0,3.68634840917
78,10.2307/41488427,0.00311720698254,10.0,0.478002949703
80,10.2307/41488427,0.000935162094763,3.0,0.438951374152
81,10.2307/41488427,0.0455112219451,146.0,2.21386857567
82,10.2307/41488427,0.0130922693267,42.0,1.73856943402
83,10.2307/41488427,0.00436408977556,14.0,0.738748563136
86,10.2307/41488427,0.0308603491272,99.0,0.746991190197
88,10.2307/41488427,0.000311720698254,1.0,0.0380875982015
92,10.2307/41488427,0.00218204488778,7.0,0.165594811168
95,10.2307/41488427,0.00124688279302,4.0,0.0989315228007
96,10.2307/41488427,0.0155860349127,50.0,2.48435976282
98,10.2307/41488427,0.000935162094763,3.0,0.171693640574
99,10.2307/41488427,0.000311720698254,1.0,0.104933579794
3,10.2307/41488394,0.00213675213675,1.0,0.364081742473
18,10.2307/41488394,0.0363247863248,17.0,7.31604833503
23,10.2307/41488394,0.0811965811966,38.0,2.35667656306
27,10.2307/41488394,0.0512820512821,24.0,1.54327854384
29,10.2307/41488394,0.0940170940171,44.0,4.23573198686
44,10.2307/41488394,0.00854700854701,4.0,0.919628493387
49,10.2307/41488394,0.00213675213675,1.0,0.29817557701
50,10.2307/41488394,0.00213675213675,1.0,0.568352323754
64,10.2307/41488394,0.254273504274,119.0,35.1065289329
65,10.2307/41488394,0.207264957265,97.0,42.7128990863
68,10.2307/41488394,0.0448717948718,21.0,2.30618255471
77,10.2307/41488394,0.00641025641026,3.0,1.00452872701
81,10.2307/41488394,0.0448717948718,21.0,2.18276399435
82,10.2307/41488394,0.017094017094,8.0,2.26997588292
86,10.2307/41488394,0.138888888889,65.0,3.36187954286
89,10.2307/41488394,0.00641025641026,3.0,0.759856737021
97,10.2307/41488394,0.00213675213675,1.0,0.44002346526
0,10.2307/41488425,0.000284333238556,1.0,0.0376682352352
1,10.2307/41488425,0.000568666477111,2.0,0.146449055149
4,10.2307/41488425,0.0292863235712,103.0,0.498184901515
7,10.2307/41488425,0.000284333238556,1.0,0.0582412449519
13,10.2307/41488425,0.0301393232869,106.0,5.71443903845
16,10.2307/41488425,0.284617571794,1001.0,38.4519580027
17,10.2307/41488425,0.000284333238556,1.0,0.0552021605226
18,10.2307/41488425,0.000284333238556,1.0,0.0572665644315
22,10.2307/41488425,0.000568666477111,2.0,0.0776328483091
23,10.2307/41488425,0.07676997441,270.0,2.22819725624
24,10.2307/41488425,0.000284333238556,1.0,0.0677382552567
26,10.2307/41488425,0.000284333238556,1.0,0.0529292005322
27,10.2307/41488425,0.0150696616434,53.0,0.453505366806
28,10.2307/41488425,0.00142166619278,5.0,0.216523444858
29,10.2307/41488425,0.0346886551038,122.0,1.56282054386
30,10.2307/41488425,0.00142166619278,5.0,0.275824367613
31,10.2307/41488425,0.028148990617,99.0,0.63593055647
32,10.2307/41488425,0.000568666477111,2.0,0.0831724045297
35,10.2307/41488425,0.000568666477111,2.0,0.129909474689
36,10.2307/41488425,0.0150696616434,53.0,1.25016763945
39,10.2307/41488425,0.000568666477111,2.0,0.115728718182
41,10.2307/41488425,0.000568666477111,2.0,0.121111848375
43,10.2307/41488425,0.035825988058,126.0,1.27423589714
44,10.2307/41488425,0.00739266420245,26.0,0.795425043185
45,10.2307/41488425,0.0133636622121,47.0,1.1391496177
47,10.2307/41488425,0.000284333238556,1.0,0.024574157917
49,10.2307/41488425,0.0139323286892,49.0,1.94420310833
52,10.2307/41488425,0.000852999715667,3.0,0.195236880522
54,10.2307/41488425,0.002558999147,9.0,0.35787513363
56,10.2307/41488425,0.000568666477111,2.0,0.188280388276
59,10.2307/41488425,0.0110889963037,39.0,2.61061185216
60,10.2307/41488425,0.000284333238556,1.0,0.113830732793
61,10.2307/41488425,0.000852999715667,3.0,0.125667260693
62,10.2307/41488425,0.000568666477111,2.0,0.100479523156
64,10.2307/41488425,0.0381006539664,134.0,5.26040538379
65,10.2307/41488425,0.000284333238556,1.0,0.058595032588
68,10.2307/41488425,0.00426499857833,15.0,0.219199284212
69,10.2307/41488425,0.0130793289736,46.0,0.327215849368
70,10.2307/41488425,0.0617003127666,217.0,2.96489061187
75,10.2307/41488425,0.17713960762,623.0,3.13595595942
81,10.2307/41488425,0.0329826556724,116.0,1.60442330077
83,10.2307/41488425,0.000284333238556,1.0,0.0481316339116
85,10.2307/41488425,0.002558999147,9.0,0.525119885543
86,10.2307/41488425,0.0420813193062,148.0,1.01860075089
89,10.2307/41488425,0.002558999147,9.0,0.303337747733
92,10.2307/41488425,0.000284333238556,1.0,0.0215779745005
93,10.2307/41488425,0.00710833096389,25.0,0.742434332694
