,DOI,Topic,Weight
0,10.1007/s10739-014-9393-0,25,0.0116104911122
1,10.1007/s10739-014-9393-0,29,0.0147560566367
2,10.1007/s10739-014-9393-0,35,0.00175900710854
3,10.1007/s10739-014-9393-0,37,0.00223745959551
4,10.1007/s10739-014-9393-0,45,0.00760311421407
5,10.1007/s10739-014-9393-0,47,0.00250994147105
6,10.1007/s10739-014-9393-0,51,0.0719744040607
7,10.1007/s10739-014-9393-0,53,0.0139772728258
8,10.1007/s10739-014-9393-0,59,0.006095952684
9,10.1007/s10739-014-9393-0,60,0.00351418404373
10,10.1007/s10739-014-9393-0,64,0.0253037274055
11,10.1007/s10739-014-9393-0,65,0.00237090599078
12,10.1007/s10739-014-9393-0,67,0.0240487300028
13,10.1007/s10739-014-9393-0,70,0.00323253422795
14,10.1007/s10739-014-9393-0,71,0.00376595714474
15,10.1007/s10739-014-9393-0,77,0.00295481168735
16,10.1007/s10739-014-9393-0,78,0.00359833886864
17,10.1007/s10739-014-9393-0,85,0.00270616478236
18,10.1007/s10739-014-9393-0,88,0.42741719335
19,10.1007/s10739-014-9393-0,94,0.00230420856358
20,10.1007/s10739-014-9393-0,96,0.043302009549
21,10.1007/s10739-014-9393-0,101,0.00268792356169
22,10.1007/s10739-014-9393-0,107,0.00253551552468
23,10.1007/s10739-014-9393-0,108,0.00888240678617
24,10.1007/s10739-014-9393-0,110,0.0119454958419
25,10.1007/s10739-014-9393-0,116,0.00235453654362
26,10.1007/s10739-014-9393-0,124,0.00246261651455
27,10.1007/s10739-014-9393-0,134,0.0779964171022
28,10.1007/s10739-014-9393-0,137,0.00235453654362
29,10.1007/s10739-014-9393-0,140,0.00276539950007
30,10.1007/s10739-014-9393-0,158,0.00969690162987
31,10.1007/s10739-014-9393-0,177,0.00682429235902
32,10.1007/s10739-014-9393-0,179,0.00905720911224
33,10.1007/s10739-014-9393-0,185,0.00267838550316
34,10.1007/s10739-014-9393-0,186,0.00209405608159
35,10.1007/s10739-014-9393-0,193,0.178621842071
36,10.2307/41488391,1,0.00639168561747
37,10.2307/41488391,6,0.00735910116057
38,10.2307/41488391,13,0.00329146380879
39,10.2307/41488391,15,0.0155276580409
40,10.2307/41488391,45,0.00318052280097
41,10.2307/41488391,47,0.00850026756794
42,10.2307/41488391,51,0.00490708911205
43,10.2307/41488391,60,0.0139907392167
44,10.2307/41488391,64,0.0112136239762
45,10.2307/41488391,67,0.0298431538542
46,10.2307/41488391,68,0.0053057196145
47,10.2307/41488391,69,0.0157616437125
48,10.2307/41488391,73,0.00554995130315
49,10.2307/41488391,78,0.0145501055433
50,10.2307/41488391,93,0.00324352986983
51,10.2307/41488391,104,0.00848643347411
52,10.2307/41488391,108,0.0402090853963
53,10.2307/41488391,111,0.0039362455916
54,10.2307/41488391,121,0.558660586995
55,10.2307/41488391,134,0.089672915823
56,10.2307/41488391,158,0.0747054847542
57,10.2307/41488391,161,0.0252229332525
58,10.2307/41488391,163,0.0168477355739
59,10.2307/41488391,186,0.00406604897942
60,10.2307/41488391,193,0.0295762749604
61,10.2307/41488392,24,0.0178609725018
62,10.2307/41488392,44,0.0121117683776
63,10.2307/41488392,47,0.0271561939586
64,10.2307/41488392,57,0.0879125517348
65,10.2307/41488392,64,0.0871739677909
66,10.2307/41488392,76,0.0207702576955
67,10.2307/41488392,78,0.0754157226041
68,10.2307/41488392,85,0.129377668264
69,10.2307/41488392,108,0.154227031082
70,10.2307/41488392,124,0.0876161098514
71,10.2307/41488392,134,0.154818982259
72,10.2307/41488392,161,0.0532292348816
73,10.2307/41488392,163,0.0330046472528
74,10.2307/41488392,191,0.0593248917452
75,10.2307/41488427,25,0.0318789650755
76,10.2307/41488427,26,0.0101973005591
77,10.2307/41488427,28,0.00603311965828
78,10.2307/41488427,35,0.00499550865322
79,10.2307/41488427,40,0.010213456895
80,10.2307/41488427,47,0.00485560288287
81,10.2307/41488427,51,0.0331259585695
82,10.2307/41488427,53,0.0226266299979
83,10.2307/41488427,57,0.0430562380098
84,10.2307/41488427,58,0.119127832359
85,10.2307/41488427,64,0.0107338569837
86,10.2307/41488427,67,0.0169966645165
87,10.2307/41488427,70,0.00341138263164
88,10.2307/41488427,76,0.00465367804084
89,10.2307/41488427,77,0.0158585243028
90,10.2307/41488427,78,0.131954963189
91,10.2307/41488427,80,0.00390503512273
92,10.2307/41488427,85,0.00398946831457
93,10.2307/41488427,108,0.00493230534154
94,10.2307/41488427,114,0.00500592183918
95,10.2307/41488427,145,0.00606521072029
96,10.2307/41488427,158,0.027765699403
97,10.2307/41488427,161,0.103729105895
98,10.2307/41488427,163,0.0960920299713
99,10.2307/41488427,167,0.0065358796298
100,10.2307/41488427,169,0.0937621383661
101,10.2307/41488427,177,0.0169577825125
102,10.2307/41488427,179,0.00891774956583
103,10.2307/41488427,180,0.109330468721
104,10.2307/41488427,186,0.0153795890329
105,10.2307/41488427,193,0.0279119332403
106,10.2307/41488394,23,0.0230731141858
107,10.2307/41488394,47,0.0293600662801
108,10.2307/41488394,51,0.0807488821048
109,10.2307/41488394,57,0.101785937512
110,10.2307/41488394,67,0.0772826081006
111,10.2307/41488394,107,0.380572382356
112,10.2307/41488394,119,0.191804517117
113,10.2307/41488394,134,0.0595407047786
114,10.2307/41488394,158,0.0264717212858
115,10.2307/41488394,163,0.0293600662801
116,10.2307/41488425,6,0.0153357230952
117,10.2307/41488425,15,0.00315166686058
118,10.2307/41488425,22,0.0102386362777
119,10.2307/41488425,23,0.00453734013906
120,10.2307/41488425,25,0.0364710533014
121,10.2307/41488425,26,0.00429668661011
122,10.2307/41488425,33,0.195106761716
123,10.2307/41488425,47,0.004787646605
124,10.2307/41488425,51,0.0331513357052
125,10.2307/41488425,53,0.0150731119649
126,10.2307/41488425,55,0.00544170635964
127,10.2307/41488425,57,0.00435280131845
128,10.2307/41488425,58,0.030701713117
129,10.2307/41488425,66,0.00285773074905
130,10.2307/41488425,67,0.0127501046194
131,10.2307/41488425,69,0.0613694711431
