Word,Label
0,f gilbert
1,f sanger
2,f n egerton
3,f burkhardt
4,f generation
5,f cornell
6,f l holmes
7,f l meyerbahlburg
8,f m balfour
9,f m burnet
10,f c bawden
11,f h c crick
12,f r lillie
13,f g hopkins
14,f e clements
15,f leshaft
16,f baird
17,f shull
18,f laporte
19,f gros
20,f glick
21,f gause
22,f bynum
23,f schaffner
24,f b churchill
25,f b hanson
26,f cannon
27,f judson
28,f manuel
29,f lutz
30,f gale
31,f payne
32,f blakeslee
33,f jacob
34,f j ayala
35,f j cole
36,f j w roughton
37,f albright
38,f lenz
39,f w herschel
40,f w hutton
41,f w putnam
42,f macfarlane burnet
43,f volf
44,f stevens
45,f roberts
46,support
47,captive
48,vivisected
49,upended
50,clerc
51,manget
52,bibliotheca
53,cmatomica
54,ﬁfty
55,shotwell
56,anatonists
57,anthropographia
58,captive breeding
59,captive breeding program
60,captive animals
61,mote
62,santorio
63,expérience
64,experientia
65,demonstratio
66,autopsia
67,pointedly
68,ﬁgurarum
69,chartis
70,pingi
71,mortui
72,extinctorum
73,internos
74,noting
75,ouvrir
76,fermée
77,alidated
78,noting that
79,cuba
80,milanese
81,mesenteric
82,ﬁlaments
83,lactibus
84,credere
85,longawaited
86,structura
87,actio
88,nihilominus
89,statuo
90,brutis
91,nihi
92,ﬁeri
93,unus
94,chimpanzee
95,sanguiﬁcation
96,moliere
97,malade
98,imaginaire
99,gui
100,patin
101,obstetrical
102,hepar
103,porrigi
104,chyli
105,gertrude
106,confraternity
107,saintcome
108,acadenies
109,théophraste
110,renaudot
111,nongalenic
112,gertrude himmelfarb
113,wagenen
114,peeled
115,subiect
116,vne
117,barengario
118,circulatorium
119,mutanda
120,decision
121,reinvented
122,sarta
123,tecta
124,inviolata
125,underwritten
126,procreatione
127,elizabeth
128,productione
129,causarum
130,aculty
131,objectiones
132,objectio
133,provencal
134,mentel
135,elizabeth b
136,elizabeth b keller
137,elizabeth gasking
138,preeminent
139,dupuy
140,jailer
141,monolithically
142,sorbiére
